SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S1036,POD,-95.24184,38.98389
KSwr_S10360,POD,-101.6349,37.65719
KSwr_S10361,POD,-101.2145,38.59143
KSwr_S10362,POD,-101.0526,39.29842
KSwr_S10363,POD,-101.8326,39.34357
KSwr_S10364,POD,-101.8279,39.33842
KSwr_S10365,POD,-101.8242,39.34344
KSwr_S10366,POD,-101.8242,39.34727
KSwr_S10367,POD,-101.8326,39.34719
KSwr_S10368,POD,-101.4141,38.54139
KSwr_S10369,POD,-99.15945,38.13418
KSwr_S1037,POD,-101.3068,39.84317
KSwr_S1037,POD,-101.3068,39.84317
KSwr_S10370,POD,-101.8627,39.60658
KSwr_S10371,POD,-99.60088,37.79253
KSwr_S10372,POD,-99.59422,37.7976
KSwr_S10373,POD,-99.59419,37.79621
KSwr_S10373,POD,-99.59419,37.79621
KSwr_S10374,POD,-99.60508,37.72052
KSwr_S10375,POD,-99.60526,37.72052
KSwr_S10376,POD,-99.60543,37.72052
KSwr_S10377,POD,-100.3984,37.36476
KSwr_S10378,POD,-100.3795,37.39447
KSwr_S10378,POD,-100.3795,37.39447
KSwr_S10379,POD,-100.0898,37.84052
KSwr_S1038,POD,-99.4449,37.19493
KSwr_S10380,POD,-97.45902,37.84323
KSwr_S10381,POD,-102.0456,38.81043
KSwr_S10382,POD,-100.8663,39.48875
KSwr_S10383,POD,-100.8705,39.49023
KSwr_S10384,POD,-100.9805,37.47524
KSwr_S10385,POD,-100.1151,39.76402
KSwr_S10386,POD,-101.7438,39.42717
KSwr_S10387,POD,-98.25584,39.46852
KSwr_S10388,POD,-98.25321,39.47024
KSwr_S10389,POD,-99.73908,38.00422
KSwr_S1039,POD,-101.4408,38.48804
KSwr_S1039,POD,-101.4408,38.48804
KSwr_S10390,POD,-99.74481,38.00612
KSwr_S10391,POD,-100.5462,39.17813
KSwr_S10392,POD,-100.5521,39.18555
KSwr_S10393,POD,-96.84929,39.11755
KSwr_S10394,POD,-96.84778,39.11832
KSwr_S10395,POD,-96.84869,39.11792
