index,STATE,COUNTY,RESERVOIRNAME,Amount,ReportYearCV,BeneficialUseCV,TheJoin,AFFGEOID
36,AZ,Apache,Unspecified,180.5574143600366,2007,LivestockDist,AZApache,0500000US04001
37,AZ,Apache,Unspecified,194.7,2008,LivestockDist,AZApache,0500000US04001
38,AZ,Apache,Unspecified,391.8768996427609,2009,LivestockDist,AZApache,0500000US04001
39,AZ,Apache,Unspecified,462.31672807033567,2010,LivestockDist,AZApache,0500000US04001
40,AZ,Apache,Unspecified,565.4130069602392,2011,LivestockDist,AZApache,0500000US04001
41,AZ,Apache,Unspecified,341.7588478454261,2012,LivestockDist,AZApache,0500000US04001
42,AZ,Apache,Unspecified,370.5471527697841,2013,LivestockDist,AZApache,0500000US04001
43,AZ,Apache,Unspecified,399.70237573229304,2014,LivestockDist,AZApache,0500000US04001
44,AZ,Apache,Unspecified,429.47756365581574,2015,LivestockDist,AZApache,0500000US04001
45,AZ,Apache,Unspecified,459.29070861776785,2016,LivestockDist,AZApache,0500000US04001
46,AZ,Apache,Unspecified,489.10385357972024,2017,LivestockDist,AZApache,0500000US04001
47,AZ,Apache,Unspecified,518.9169985416725,2018,LivestockDist,AZApache,0500000US04001
0,AZ,Apache,Unspecified,16.59416819651056,1971,StockpondCU,AZApache,0500000US04001
1,AZ,Apache,Unspecified,16.59416819651056,1972,StockpondCU,AZApache,0500000US04001
2,AZ,Apache,Unspecified,13.577046706235912,1973,StockpondCU,AZApache,0500000US04001
3,AZ,Apache,Unspecified,17.559647073398445,1974,StockpondCU,AZApache,0500000US04001
4,AZ,Apache,Unspecified,13.878758855263376,1975,StockpondCU,AZApache,0500000US04001
5,AZ,Apache,Unspecified,15.3873196004007,1976,StockpondCU,AZApache,0500000US04001
6,AZ,Apache,Unspecified,15.839887823941897,1977,StockpondCU,AZApache,0500000US04001
7,AZ,Apache,Unspecified,16.292456047483093,1978,StockpondCU,AZApache,0500000US04001
8,AZ,Apache,Unspecified,14.029614929777109,1979,StockpondCU,AZApache,0500000US04001
9,AZ,Apache,Unspecified,15.025265021567742,1980,StockpondCU,AZApache,0500000US04001
10,AZ,Apache,Unspecified,16.337712869837212,1981,StockpondCU,AZApache,0500000US04001
11,AZ,Apache,Unspecified,15.085607451373235,1982,StockpondCU,AZApache,0500000US04001
12,AZ,Apache,Unspecified,16.59416819651056,1983,StockpondCU,AZApache,0500000US04001
13,AZ,Apache,Unspecified,13.577046706235912,1984,StockpondCU,AZApache,0500000US04001
14,AZ,Apache,Unspecified,1.5085607451373235,1985,StockpondCU,AZApache,0500000US04001
15,AZ,Apache,Unspecified,15.183663899807161,1986,StockpondCU,AZApache,0500000US04001
16,AZ,Apache,Unspecified,12.611567829348024,1987,StockpondCU,AZApache,0500000US04001
17,AZ,Apache,Unspecified,12.1740852132582,1988,StockpondCU,AZApache,0500000US04001
18,AZ,Apache,Unspecified,8.07079998648468,1989,StockpondCU,AZApache,0500000US04001
19,AZ,Apache,Unspecified,7.241091576659152,1990,StockpondCU,AZApache,0500000US04001
20,AZ,Apache,Unspecified,7.69365980020035,1991,StockpondCU,AZApache,0500000US04001
21,AZ,Apache,Unspecified,10.409069141447532,1992,StockpondCU,AZApache,0500000US04001
22,AZ,Apache,Unspecified,10.107356992420067,1993,StockpondCU,AZApache,0500000US04001
23,AZ,Apache,Unspecified,9.911244095552215,1994,StockpondCU,AZApache,0500000US04001
24,AZ,Apache,Unspecified,9.549189516719258,1995,StockpondCU,AZApache,0500000US04001
25,AZ,Apache,Unspecified,10.28118573504086,1996,StockpondCU,AZApache,0500000US04001
26,AZ,Apache,Unspecified,10.344839729418169,1997,StockpondCU,AZApache,0500000US04001
27,AZ,Apache,Unspecified,13.527849124961316,1998,StockpondCU,AZApache,0500000US04001
28,AZ,Apache,Unspecified,13.05964387451067,1999,StockpondCU,AZApache,0500000US04001
29,AZ,Apache,Unspecified,13.876643763581738,2000,StockpondCU,AZApache,0500000US04001
30,AZ,Apache,Unspecified,13.57240125959334,2001,StockpondCU,AZApache,0500000US04001
31,AZ,Apache,Unspecified,10.455724302221928,2002,StockpondCU,AZApache,0500000US04001
32,AZ,Apache,Unspecified,11.066208288807358,2003,StockpondCU,AZApache,0500000US04001
33,AZ,Apache,Unspecified,13.846625752304819,2004,StockpondCU,AZApache,0500000US04001
34,AZ,Apache,Unspecified,13.176756344642868,2005,StockpondCU,AZApache,0500000US04001
35,AZ,Apache,Unspecified,11.767684584296136,2006,StockpondCU,AZApache,0500000US04001
36,AZ,Apache,Unspecified,13.073937711333057,2007,StockpondCU,AZApache,0500000US04001
37,AZ,Apache,Unspecified,13.531789883881792,2008,StockpondCU,AZApache,0500000US04001
38,AZ,Apache,Unspecified,11.086398267705679,2009,StockpondCU,AZApache,0500000US04001
39,AZ,Apache,Unspecified,13.876466214901837,2010,StockpondCU,AZApache,0500000US04001
40,AZ,Apache,Unspecified,13.552314784825635,2011,StockpondCU,AZApache,0500000US04001
41,AZ,Apache,Unspecified,7.962455922900322,2012,StockpondCU,AZApache,0500000US04001
42,AZ,Apache,Unspecified,13.305521496067835,2013,StockpondCU,AZApache,0500000US04001
43,AZ,Apache,Unspecified,10.685531671470136,2014,StockpondCU,AZApache,0500000US04001
44,AZ,Apache,Unspecified,12.84195927628139,2015,StockpondCU,AZApache,0500000US04001
45,AZ,Apache,Unspecified,14.33274587594499,2016,StockpondCU,AZApache,0500000US04001
46,AZ,Apache,Unspecified,14.169308020937866,2017,StockpondCU,AZApache,0500000US04001
47,AZ,Apache,Unspecified,11.967035591280702,2018,StockpondCU,AZApache,0500000US04001
0,AZ,Apache,Unspecified,11.658254594442953,1971,StockpondCU,AZApache,0500000US04001
1,AZ,Apache,Unspecified,11.658254594442953,1972,StockpondCU,AZApache,0500000US04001
2,AZ,Apache,Unspecified,9.538571940907872,1973,StockpondCU,AZApache,0500000US04001
3,AZ,Apache,Unspecified,12.33655304357418,1974,StockpondCU,AZApache,0500000US04001
4,AZ,Apache,Unspecified,9.750540206261379,1975,StockpondCU,AZApache,0500000US04001
5,AZ,Apache,Unspecified,10.81038153302892,1976,StockpondCU,AZApache,0500000US04001
6,AZ,Apache,Unspecified,11.128333931059183,1977,StockpondCU,AZApache,0500000US04001
7,AZ,Apache,Unspecified,11.446286329089446,1978,StockpondCU,AZApache,0500000US04001
8,AZ,Apache,Unspecified,9.856524338938133,1979,StockpondCU,AZApache,0500000US04001
9,AZ,Apache,Unspecified,10.556019614604711,1980,StockpondCU,AZApache,0500000US04001
10,AZ,Apache,Unspecified,11.478081568892472,1981,StockpondCU,AZApache,0500000US04001
11,AZ,Apache,Unspecified,10.598413267675411,1982,StockpondCU,AZApache,0500000US04001
12,AZ,Apache,Unspecified,11.658254594442953,1983,StockpondCU,AZApache,0500000US04001
13,AZ,Apache,Unspecified,9.538571940907872,1984,StockpondCU,AZApache,0500000US04001
