MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8054.17524,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1995,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8027.447872,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1996,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8043.270121,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1997,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8192.391520000001,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1998,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9330.410937,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1999,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8680.34996,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2000,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9104.6034,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2001,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,10105.18236,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2002,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9375.63988,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2003,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9269.29532,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2004,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8488.34988,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2005,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8948.90572,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2006,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,10169.96136,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2007,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9422.9076,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2008,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8434.65064,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2009,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8530.9252,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2010,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8013.935559999999,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2011,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8784.5296,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2012,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8956.9354,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2013,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9153.2,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2014,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,8984.373688,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2015,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9866.32,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2016,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,9566.1448,Industrial                                        ,,,,06/15/2020,,,,,,,,,,2017,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,50983.9008,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1985,,,
