Basin Code,Inflow/Outflow,Sector,Year,Quantity,Water Type,Component
PHX,Outflow,Agricultural                                      ,1989,703133,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1990,700103,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1991,465080,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1991,64,GSF (EFFLUENT)                                    ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1992,329965,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1992,84981,GSF (CAP)                                         ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1993,358902,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1993,129948,GSF (CAP)                                         ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1994,557581,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1994,16619,GSF (CAP)                                         ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1995,474033,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1995,65690,GSF (CAP)                                         ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1996,545558,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1996,116945,GSF (CAP)                                         ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1997,484376,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1997,229476,GSF (CAP)                                         ,Groundwater Demand
