WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
LEROUX CREEK DITCH-CODWR,LEROUX CREEK DITCH-CODWR,,Unspecified,Fresh,,
LEE WATER LINE-CODWR,LEE WATER LINE-CODWR,,Unspecified,Fresh,,
LEMON DITCH-CODWR,LEMON DITCH-CODWR,,Unspecified,Fresh,,
LEROY'S DITCH AP-CODWR,LEROY'S DITCH AP-CODWR,,Unspecified,Fresh,,
LEWIS CREEK DITCH 3-CODWR,LEWIS CREEK DITCH 3-CODWR,,Unspecified,Fresh,,
LESTER & ATTEBERY DITCH-CODWR,LESTER & ATTEBERY DITCH-CODWR,,Unspecified,Fresh,,
LEWIS WELL NO 1-CODWR,LEWIS WELL NO 1-CODWR,,Unspecified,Fresh,,
LESTER-ATTEBERY TRANSIT MIX MEAS STATION-CODWR,LESTER-ATTEBERY TRANSIT MIX MEAS STATION-CODWR,,Unspecified,Fresh,,
LIFEBOAT 14-34-CODWR,LIFEBOAT 14-34-CODWR,,Unspecified,Fresh,,
LIEBERG AUG PLAN-CODWR,LIEBERG AUG PLAN-CODWR,,Unspecified,Fresh,,
LIGER 12-12-CODWR,LIGER 12-12-CODWR,,Unspecified,Fresh,,
LILE WELL-CODWR,LILE WELL-CODWR,,Unspecified,Fresh,,
LINCOLN DITCH NO 3-CODWR,LINCOLN DITCH NO 3-CODWR,,Unspecified,Fresh,,
LINGREN & PICKETT DITCH-CODWR,LINGREN & PICKETT DITCH-CODWR,,Unspecified,Fresh,,
LIDDLE THRASHER RCHRG A-CODWR,LIDDLE THRASHER RCHRG A-CODWR,,Unspecified,Fresh,,
LINDEN PUMP-CODWR,LINDEN PUMP-CODWR,,Unspecified,Fresh,,
LINDSTROM NO 2 DITCH-CODWR,LINDSTROM NO 2 DITCH-CODWR,,Unspecified,Fresh,,
LINK DITCH 1-CODWR,LINK DITCH 1-CODWR,,Unspecified,Fresh,,
LAUGHLIN D-CODWR,LAUGHLIN D-CODWR,,Unspecified,Fresh,,
LINN AND CLARK RESERVOIR-CODWR,LINN AND CLARK RESERVOIR-CODWR,,Unspecified,Fresh,,
LIPPERT NO 2 DITCH-CODWR,LIPPERT NO 2 DITCH-CODWR,,Unspecified,Fresh,,
LITTLE BLANCO HIGHLINE D-CODWR,LITTLE BLANCO HIGHLINE D-CODWR,,Unspecified,Fresh,,
LITTLE HILLS WELL 15-CODWR,LITTLE HILLS WELL 15-CODWR,,Unspecified,Fresh,,
LITTLE DITCH-CODWR,LITTLE DITCH-CODWR,,Unspecified,Fresh,,
LITTLE DANUBE D-CODWR,LITTLE DANUBE D-CODWR,,Unspecified,Fresh,,
LITTLE JOES TRAILER PARK WELL-CODWR,LITTLE JOES TRAILER PARK WELL-CODWR,,Unspecified,Fresh,,
LITTLE HILLS ALT HG 5-CODWR,LITTLE HILLS ALT HG 5-CODWR,,Unspecified,Fresh,,
LITTLE LAKE DALTON-CODWR,LITTLE LAKE DALTON-CODWR,,Unspecified,Fresh,,
LITTLE WOODY DITCH-CODWR,LITTLE WOODY DITCH-CODWR,,Unspecified,Fresh,,
LOBA DITCH NO 4-CODWR,LOBA DITCH NO 4-CODWR,,Unspecified,Fresh,,
LOFDAHL WELL NO 2-CODWR,LOFDAHL WELL NO 2-CODWR,,Unspecified,Fresh,,
LITTLE ROCK DITCH-CODWR,LITTLE ROCK DITCH-CODWR,,Unspecified,Fresh,,
LEFT FIELD 31-29 TR-CODWR,LEFT FIELD 31-29 TR-CODWR,,Unspecified,Fresh,,
LOGAN CSD RE-1 23690-F-CODWR,LOGAN CSD RE-1 23690-F-CODWR,,Unspecified,Fresh,,
LIVELY 03-04-CODWR,LIVELY 03-04-CODWR,,Unspecified,Fresh,,
OFALLON NO 3 DITCH-CODWR,OFALLON NO 3 DITCH-CODWR,,Unspecified,Fresh,,
O'CONNELL AND KING DITCH-CODWR,O'CONNELL AND KING DITCH-CODWR,,Unspecified,Fresh,,
OFF RANCHES AUG PLAN-CODWR,OFF RANCHES AUG PLAN-CODWR,,Unspecified,Fresh,,
OFF RANCHES RECHARGE PIT-CODWR,OFF RANCHES RECHARGE PIT-CODWR,,Unspecified,Fresh,,
OGALLELA 44-12-CODWR,OGALLELA 44-12-CODWR,,Unspecified,Fresh,,
NOTTINGHAM DITCH HDG NO1-CODWR,NOTTINGHAM DITCH HDG NO1-CODWR,,Unspecified,Fresh,,
OHLSON WELL NO 2-CODWR,OHLSON WELL NO 2-CODWR,,Unspecified,Fresh,,
OLD 160 SPRING-CODWR,OLD 160 SPRING-CODWR,,Unspecified,Fresh,,
ODOM DITCH NO 1-CODWR,ODOM DITCH NO 1-CODWR,,Unspecified,Fresh,,
NILE DITCH-CODWR,NILE DITCH-CODWR,,Unspecified,Fresh,,
OLD ELAM P/A POD-CODWR,OLD ELAM P/A POD-CODWR,,Unspecified,Fresh,,
OLD SWEENEY DITCH-CODWR,OLD SWEENEY DITCH-CODWR,,Unspecified,Fresh,,
OLD DUCEY D-CODWR,OLD DUCEY D-CODWR,,Unspecified,Fresh,,
OLIVER SPRING-CODWR,OLIVER SPRING-CODWR,,Unspecified,Fresh,,
OLSON NO 2 DITCH-CODWR,OLSON NO 2 DITCH-CODWR,,Unspecified,Fresh,,
ORCHARD CITY PIPELINE-CODWR,ORCHARD CITY PIPELINE-CODWR,,Unspecified,Fresh,,
ORCUTT WELL NO 3-CODWR,ORCUTT WELL NO 3-CODWR,,Unspecified,Fresh,,
ORB DITCH-CODWR,ORB DITCH-CODWR,,Unspecified,Fresh,,
ORCHARD GROVE IND PK PIT-CODWR,ORCHARD GROVE IND PK PIT-CODWR,,Unspecified,Fresh,,
O'NEAL DITCH-CODWR,O'NEAL DITCH-CODWR,,Unspecified,Fresh,,
ORTEGA D 1A-CODWR,ORTEGA D 1A-CODWR,,Unspecified,Fresh,,
OTIS MOORE DITCH-CODWR,OTIS MOORE DITCH-CODWR,,Unspecified,Fresh,,
