PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S57816,UTwr_S463107,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463120,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463108,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463135,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463132,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463134,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463171,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S383760,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S462757,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S462753,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463119,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463173,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463082,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463085,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463172,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S383759,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463109,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463112,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S383758,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463136,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463105,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463084,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463086,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463106,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463133,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S462752,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463118,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463170,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463116,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463083,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463110,01/01/2021,12/31/2021
