SiteUUID,PODorPOUSite,Longitude,Latitude
OKwr_S10416,POD,-98.60470938,35.63572147
OKwr_S10417,POD,-99.66451949,35.62630426
OKwr_S10418,POD,-98.7353505,35.6175915
OKwr_S10419,POD,-99.1342805,35.5561125
OKwr_S1042,POD,-99.39416068,34.59344196
OKwr_S10420,POD,-97.22649141,35.68426537
OKwr_S10421,POD,-99.73552305,35.62824706
OKwr_S10423,POD,-99.69330499,35.6280503
OKwr_S10424,POD,-99.43272625,35.59893281
OKwr_S10425,POD,-99.27639679,35.59427355
OKwr_S10426,POD,-99.27639969,35.58881655
OKwr_S10427,POD,-99.27418487,35.58159324
OKwr_S10428,POD,-96.4691305,35.6218875
OKwr_S10429,POD,-99.89308739,35.56136243
OKwr_S1043,POD,-99.39414399,34.58794812
OKwr_S10430,POD,-99.67011722,35.62537022
OKwr_S10430,POD,-99.67011722,35.62537022
OKwr_S10431,POD,-99.65897052,35.62541015
OKwr_S10431,POD,-99.65897052,35.62541015
OKwr_S10432,POD,-99.8252185,35.6073795
OKwr_S10433,POD,-97.95122081,35.586696
OKwr_S10434,POD,-99.57735508,35.58007615
OKwr_S10435,POD,-98.05578281,35.61217056
OKwr_S10436,POD,-98.05134125,35.61394189
OKwr_S10437,POD,-98.0979415,35.6193825
OKwr_S10438,POD,-98.1109289,35.63748462
OKwr_S10439,POD,-98.13752578,35.62471713
OKwr_S1044,POD,-100.89920875,36.53758083
OKwr_S10440,POD,-98.1176865,35.61389686
OKwr_S10441,POD,-98.11986013,35.58845347
OKwr_S10442,POD,-99.93852604,35.58404642
OKwr_S10443,POD,-99.93852606,35.58223918
OKwr_S10444,POD,-98.64536787,35.59139389
OKwr_S10445,POD,-99.1987239,35.6159806
OKwr_S10446,POD,-99.45138189,35.60889552
OKwr_S10447,POD,-97.93012718,35.57131698
OKwr_S10448,POD,-97.19346564,35.66586155
OKwr_S10449,POD,-97.19347552,35.66397692
OKwr_S1045,POD,-99.10704284,34.51021152
OKwr_S10450,POD,-97.19348597,35.66216984
OKwr_S10451,POD,-95.07289112,35.62504854
OKwr_S10452,POD,-99.887369,35.5713615
OKwr_S10453,POD,-98.69973931,35.55422312
OKwr_S10454,POD,-97.48392623,35.72446875
OKwr_S10455,POD,-97.4839075,35.7190405
OKwr_S10456,POD,-97.36164685,35.65910465
OKwr_S10457,POD,-97.361645,35.66091177
OKwr_S10458,POD,-97.359422,35.659104
OKwr_S10459,POD,-98.0199539,35.58115526
OKwr_S1046,POD,-99.10704983,34.51201894
OKwr_S10460,POD,-98.01991854,35.57928635
OKwr_S10461,POD,-98.02890192,35.58474755
OKwr_S10462,POD,-98.0277914,35.58381942
OKwr_S10463,POD,-98.02663862,35.5829275
OKwr_S10464,POD,-98.02439488,35.58111583
OKwr_S10465,POD,-98.1331635,35.6211095
OKwr_S10466,POD,-98.69866426,35.56783042
OKwr_S10467,POD,-98.67320943,35.62306863
OKwr_S10468,POD,-98.6732095,35.6212735
OKwr_S10469,POD,-98.637596,35.5904855
OKwr_S1047,POD,-99.10703869,34.5084018
OKwr_S10470,POD,-98.642045,35.5904855
OKwr_S10471,POD,-99.14759004,35.55974061
OKwr_S10472,POD,-99.1409445,35.5561215
OKwr_S10473,POD,-99.14539078,35.5561223
OKwr_S10474,POD,-99.14094491,35.55972753
OKwr_S10475,POD,-98.96335538,35.58899154
OKwr_S10476,POD,-99.7968425,35.6179875
OKwr_S10476,POD,-99.7968425,35.6179875
OKwr_S10477,POD,-99.80325488,35.61794711
