index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
113,NDwr_S112,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.81724000000001,-101.83639,,,POD,Unspecified,13908831BA,,Surface Water,ND,
114,NDwr_S113,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.81722,-101.84161,,,POD,Unspecified,13908831BB,,Surface Water,ND,
115,NDwr_S114,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.82839,-103.81073,,,POD,Unspecified,15010312BD,,Surface Water,ND,
116,NDwr_S115,,NDwr_WS15,,Unspecified,McKenzie,4326,,,,,48.05464,-103.12214,,,POD,Unspecified,15309723CD,,Surface Water,ND,
117,NDwr_S116,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.91522,-103.71989,,,POD,Unspecified,15110210AC,,Surface Water,ND,
118,NDwr_S117,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.88272,-103.71464,,,POD,Unspecified,15110222DA,,Surface Water,ND,
119,NDwr_S118,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.90081,-103.69842,,,POD,Unspecified,15110214AC,,Surface Water,ND,
120,NDwr_S119,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.88993,-103.73073,,,POD,Unspecified,15110222BB,,Surface Water,ND,
121,NDwr_S120,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.89354,-103.73071,,,POD,Unspecified,15110215CC,,Surface Water,ND,
122,NDwr_S121,,NDwr_WS15,,Unspecified,McKenzie,4326,,,,,48.06916,-103.12216,,,POD,Unspecified,15309714CD,,Surface Water,ND,
123,NDwr_S122,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.99413,-103.12603,,,POD,Unspecified,15209708CD,,Surface Water,ND,
124,NDwr_S123,,NDwr_WS2,,Unspecified,Billings,4326,,,,,46.85529,-103.53327,,,POD,Unspecified,13910215AC,,Surface Water,ND,
125,NDwr_S124,,NDwr_WS2,,Unspecified,Griggs,4326,,,,,47.3115,-98.1914,,,POD,Unspecified,14405908BB,,Surface Water,ND,
126,NDwr_S125,,NDwr_WS2,,Unspecified,Cass,4326,,,,,46.75886,-96.91231,,,POD,Unspecified,13804919AB,,Surface Water,ND,
127,NDwr_S126,,NDwr_WS2,,Unspecified,Barnes,4326,,,,,46.92224,-97.99417,,,POD,Unspecified,14005822CC,,Surface Water,ND,
