AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,Geometry,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,Unnamed: 11,MethodUUID,NAICSCodeCV,OrganizationUUID,PopulationServed,PowerGeneratedGWh,PowerType,Unnamed: 18,Unnamed: 19,ReportingUnitName,ReportingUnitNativeID,ReportingUnitTypeCV,ReportYearCV,Unnamed: 24,TimeframeEnd,TimeframeStart,USGSCategoryCV,UT_VariableCV,UT_VariableSpecificCV,WaterSourceID,tempWST,in_VariableSpecificCV,in_WaterSourceNativeID
,260280.360645,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Millard,49027,County,2006,,2007-09-30,2006-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,22098.582077,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Morgan,49029,County,2006,,2007-09-30,2006-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,35043.393587,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Piute,49031,County,2006,,2007-09-30,2006-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,19109.890469,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Grand,49019,County,2011,,2012-09-30,2011-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,118992.420476,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Sevier,49041,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,45063.362847,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Summit,49043,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,45897.886405,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Tooele,49045,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,170431.904239,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Uintah,49047,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,9922.538308,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Kane,49025,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,261751.207186,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Millard,49027,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
