SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S574,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kuparuk Deadarm - K2 Reservoir,,,lake,AK,,Bad Latitude,573.0
AKwr_S575,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,West Eagle,,,well,AK,,Bad Latitude,574.0
AKwr_S577,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,TW-1A,,,well,AK,,Bad Latitude,576.0
AKwr_S578,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9824,,,lake,AK,,Bad Latitude,577.0
AKwr_S579,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M0353/MB0301/L9341/M9925,,,lake,AK,,Bad Latitude,578.0
AKwr_S580,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9803/L9820,,,lake,AK,,Bad Latitude,579.0
AKwr_S581,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9802/L9811,,,lake,AK,,Bad Latitude,580.0
AKwr_S582,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1312,,,lake,AK,,Bad Latitude,581.0
AKwr_S583,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1321,,,lake,AK,,Bad Latitude,582.0
AKwr_S584,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Lakes M0651, M0653, M0654",,,lake,AK,,Bad Latitude,583.0
AKwr_S585,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M0024/R0061,,,lake,AK,,Bad Latitude,584.0
AKwr_S586,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1301/L9832,,,lake,AK,,Bad Latitude,585.0
AKwr_S587,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Cook Inlet Field Office well 2,,,well,AK,,Bad Latitude,586.0
AKwr_S588,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MB0401,,,lake,AK,,Bad Latitude,587.0
AKwr_S599,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Point Thomson 5 Lakes,,,lake,AK,,Bad Latitude,598.0
AKwr_S607,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Point Thomson 4 lakes,,,lake,AK,,Bad Latitude,606.0
AKwr_S610,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Mine Site 2007 Pit,,,lake,AK,,Bad Latitude,609.0
AKwr_S611,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Heart 360 lake,,,lake,AK,,Bad Latitude,610.0
AKwr_S612,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1204,,,lake,AK,,Bad Latitude,611.0
AKwr_S613,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,1B-S CHANNEL,,,lake,AK,,Bad Latitude,612.0
AKwr_S614,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Nigliq Channel,,,river,AK,,Bad Latitude,613.0
AKwr_S615,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kenai Gas Field Pad 41-18 G&I Water Well,,,well,AK,,Bad Latitude,614.0
AKwr_S616,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Ninilchik Unit Paxton Pad,,,well,AK,,Bad Latitude,615.0
AKwr_S617,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Beaver Creek Unit Pad 1A Well No. 1A,,,well,AK,,Bad Latitude,616.0
AKwr_S618,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Lakes 1, 2, 3, 4, 5",,,lake,AK,,Bad Latitude,617.0
AKwr_S619,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Lakes 18, 19",,,lake,AK,,Bad Latitude,618.0
AKwr_S620,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Trading Bay Production - wells,,,well,AK,,Bad Latitude,619.0
AKwr_S623,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Beaufort Sea along Endicott Causeway,,,river,AK,,Bad Latitude,622.0
AKwr_S626,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Drill Site 3 Lake,,,lake,AK,,Bad Latitude,625.0
AKwr_S628,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9109,,,lake,AK,,Bad Latitude,627.0
AKwr_S629,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9129,,,lake,AK,,Bad Latitude,628.0
AKwr_S630,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1407,,,lake,AK,,Bad Latitude,629.0
AKwr_S631,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1408,,,lake,AK,,Bad Latitude,630.0
AKwr_S632,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MC7903,,,lake,AK,,Bad Latitude,631.0
