in_SiteNativeID,geometry
POUWaDEOK_S46,"POLYGON ((-97.82665939616527 34.51436850981922, -97.82662689855151 34.52165101140564, -97.80914889394334 34.52167601249712, -97.80908389333101 34.51440501096756, -97.80901889284833 34.50717500991349, -97.81340486751259 34.50715445426712, -97.82437082892778 34.50711947332644, -97.82669189775078 34.50710400864084, -97.82665939616527 34.51436850981922))"
POUWaDEOK_S47,"POLYGON ((-96.62178900710856 34.64351809113175, -96.61959091322693 34.64351809212759, -96.61738589497328 34.64354273313878, -96.6174145998683 34.6362890904113, -96.63488360460813 34.63638108979266, -96.63488659650399 34.64356181405071, -96.63278994731172 34.64351809072313, -96.62178900710856 34.64351809113175))"
POUWaDEOK_S48,"POLYGON ((-96.6087783533428 34.63633108545395, -96.61314188755915 34.63631005420767, -96.61319559846721 34.63813621620537, -96.61319559846041 34.63994609080674, -96.60880259773059 34.63995472015196, -96.60880259765811 34.63814294160891, -96.6087783533428 34.63633108545395))"
POUWaDEOK_S49,"POLYGON ((-96.61314188755915 34.63631005420767, -96.6087783533428 34.63633108545395, -96.60869559721236 34.63449509020177, -96.60869559682575 34.62907408965839, -96.61308814427021 34.62907409003295, -96.61308859902317 34.63449508980334, -96.61314188755915 34.63631005420767))"
POUWaDEOK_S50,"POLYGON ((-97.80013990747346 34.75038005329934, -97.8067379097006 34.75038005296983, -97.80885140953944 34.75040805286467, -97.80883491004104 34.75425805397431, -97.80017740820279 34.7542170546434, -97.80013990815384 34.75218705402787, -97.80013990747346 34.75038005329934))"
POUWaDEOK_S51,"POLYGON ((-97.80011240746947 34.73956505179222, -97.80013990727066 34.74136505241455, -97.80013990718567 34.74316505230448, -97.79574090677251 34.74315105224998, -97.79572740632692 34.73955105180183, -97.80011240746947 34.73956505179222))"
POUWaDEOK_S52,"POLYGON ((-97.80013990748492 34.74676605293595, -97.80673740903754 34.74676605289091, -97.80886841033434 34.74679405270916, -97.80885140953944 34.75040805286467, -97.8067379097006 34.75038005296983, -97.80013990747346 34.75038005329934, -97.80013990748492 34.74676605293595))"
POUWaDEOK_S53,"POLYGON ((-97.80011240746947 34.73956505179222, -97.80890290897356 34.73959305134635, -97.80886841033434 34.74679405270916, -97.80673740903754 34.74676605289091, -97.80013990748492 34.74676605293595, -97.80013990718567 34.74316505230448, -97.80013990727066 34.74136505241455, -97.80011240746947 34.73956505179222))"
POUWaDEOK_S54,"POLYGON ((-99.78902639091497 34.594246927579, -99.78900039068877 34.60146892889785, -99.77366438691774 34.60146692929121, -99.77145938667587 34.60145692988479, -99.7714993866001 34.59423892869162, -99.78902639091497 34.594246927579))"
POUWaDEOK_S55,"POLYGON ((-96.69724859859369 34.33415253100704, -96.69721409835105 34.33234402363795, -96.70159109998498 34.33234103091728, -96.70162560045144 34.33415003134147, -96.70162560119319 34.33957803233104, -96.69724859932289 34.33957803196773, -96.69724859859369 34.33415253100704))"
POUWaDEOK_S56,"POLYGON ((-99.37747728349083 34.52177530371969, -99.36893128165883 34.52178193532718, -99.36881728133815 34.51446793431851, -99.3774772838495 34.51446793361367, -99.37747728349083 34.52177530371969))"
POUWaDEOK_S57,"POLYGON ((-96.38956230799195 34.65272824470648, -96.38956554274931 34.65092710423025, -96.39835776251769 34.65095110344043, -96.39835354570587 34.65815510457576, -96.38954973383193 34.65815510476123, -96.38956230799195 34.65272824470648))"
POUWaDEOK_S58,"POLYGON ((-98.06348497031023 34.70322403244933, -98.06348497147029 34.7086450328851, -98.06347297103034 34.71035253332764, -98.06126797051346 34.71036753346554, -98.06127996987328 34.7032240326493, -98.06348497031023 34.70322403244933))"
POUWaDEOK_S59,"POLYGON ((-98.05688096903577 34.7032240323763, -98.05686846929008 34.71039753380072, -98.05466696911117 34.71041203404823, -98.05467996759585 34.70326753303495, -98.05688096903577 34.7032240323763))"
POUWaDEOK_S60,"POLYGON ((-98.05688096903577 34.7032240323763, -98.05908196926013 34.70322403259971, -98.05906996963641 34.71038253425196, -98.05686846929008 34.71039753380072, -98.05688096903577 34.7032240323763))"
POUWaDEOK_S61,"POLYGON ((-98.06346847035277 34.69591303119841, -98.06786447163815 34.69587203118108, -98.06788097099073 34.69769953077751, -98.0678809715295 34.70322403146763, -98.06348497031023 34.70322403244933, -98.06348497038263 34.6977410311662, -98.06346847035277 34.69591303119841))"
POUWaDEOK_S62,"POLYGON ((-98.06786447163815 34.69587203118108, -98.07006247142327 34.69585103056203, -98.07007897238441 34.69767903067648, -98.07007897216427 34.70322403162526, -98.0678809715295 34.70322403146763, -98.06788097099073 34.69769953077751, -98.06786447163815 34.69587203118108))"
POUWaDEOK_S63,"POLYGON ((-98.07221396931305 34.68860102974655, -98.0744194716988 34.6885610288715, -98.07662447280087 34.6885610293148, -98.08103397426333 34.68856102886527, -98.08103397465936 34.69398202930075, -98.08100497383909 34.69573352997711, -98.07218397224011 34.6958300304231, -98.07221396931305 34.68860102974655))"
POUWaDEOK_S64,"POLYGON ((-98.07662447280087 34.6885610293148, -98.0744194716988 34.6885610288715, -98.07221396931305 34.68860102974655, -98.07222897175157 34.68496702878817, -98.07443447191329 34.68494702890264, -98.07663897250968 34.6849470280717, -98.07662447280087 34.6885610293148))"
POUWaDEOK_S65,"POLYGON ((-96.95739667164068 34.42292403554056, -96.9573966715474 34.42473103571374, -96.9552056708761 34.4247310355162, -96.9552056705038 34.42292403487171, -96.95739667164068 34.42292403554056))"
POUWaDEOK_S66,"POLYGON ((-96.95081667030979 34.42293503581858, -96.9552056705038 34.42292403487171, -96.9552056708761 34.4247310355162, -96.95081266988313 34.42474203605283, -96.95081667030979 34.42293503581858))"
POUWaDEOK_S67,"POLYGON ((-96.95958767228882 34.42292953566799, -96.95739667164068 34.42292403554056, -96.9552056705038 34.42292403487171, -96.95081667030979 34.42293503581858, -96.95082466957567 34.41931003477727, -96.95961567158531 34.41932103445123, -96.95958767163941 34.42112553462413, -96.95958767228882 34.42292953566799))"
POUWaDEOK_S68,"POLYGON ((-96.95958767172988 34.42473653535925, -96.95958767228882 34.42292953566799, -96.96177867264961 34.42293503484833, -96.96177867273269 34.42474203494399, -96.95958767172988 34.42473653535925))"
