OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
226,Discharge.Daily Average@41O 02900,6cc463dcae73443fbbff815fac45f08d,Daily Average,,,1,McDonald Creek near Mouth,41O 02900,216d4799b1204631ab40c72fbcff6295,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 19:01:48,[],Discharge
227,Discharge.discharge@41O 02900,278f4456e9ed4d209045bc88495ce611,discharge,,,1,McDonald Creek near Mouth,41O 02900,216d4799b1204631ab40c72fbcff6295,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 19:01:57,[],Discharge
228,Water Temp.water temp@41O 02900,5ed502da78724c66b4b70096a64199b0,water temp,,,1,McDonald Creek near Mouth,41O 02900,216d4799b1204631ab40c72fbcff6295,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/4/2021 19:02:30,[],Water Temp
229,Stage.working@41O 02900,aef05e83794b4a3e89e7f4cc84821d17,working,,,1,McDonald Creek near Mouth,41O 02900,216d4799b1204631ab40c72fbcff6295,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 19:02:06,[],Stage
230,Stage.Daily Average@41O 03000,2c8357b6898f4bc4a4caf712dd2332f2,Daily Average,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,2/12/2021 21:24:49,[],Stage
231,Discharge.Daily Average@41O 03000,f449c1fa98f4486895af43af618c7eeb,Daily Average,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 19:08:00,[],Discharge
232,Water Temp.Daily Average@41O 03000,45b57c171de94f68ad67685345c38f6a,Daily Average,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorDerived,TW,degC,-PT7H,Mean,Daily,2/12/2021 21:25:16,[],Water Temp
233,Discharge.discharge@41O 03000,a81b273b22fa4de0bd0954a39dd2ada4,discharge,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 19:08:08,[],Discharge
234,Water Temp.water temp@41O 03000,ac605eb825b04ed7959e743efe3282c0,water temp,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/4/2021 19:08:45,[],Water Temp
235,Stage.working@41O 03000,496aab34bacf49a49d246fb90e87b8f2,working,,,1,Teton River above Springhill,41O 03000,fb9d298d07294311b2a0bb2aada61a39,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 19:08:37,[],Stage
