SiteUUID,Longitude,Latitude
CAwr_S10435,-120.9463,38.7045
CAwr_S10436,-122.30992751,38.24828137
CAwr_S10437,-116.38445037,32.70396978
CAwr_S10438,-122.1983491,38.31827064
CAwr_S10439,-123.69192177,40.28106342
CAwr_S1044,-122.27513238,38.34557295
CAwr_S10440,-120.15322291,39.14048179
CAwr_S10441,-122.36112095,38.24978027
CAwr_S10442,-122.90185327,38.5018824
CAwr_S10443,-122.30503137,37.3632927
CAwr_S10444,-122.30429043,37.36467758
CAwr_S10445,-120.8119,35.3594
CAwr_S10446,-120.8113,35.358
CAwr_S10447,-120.7908,35.3529
CAwr_S10448,-120.814,35.3595
CAwr_S10449,-120.8123,35.3588
CAwr_S1045,-122.50682925,38.17344644
CAwr_S10450,-120.8123,35.3595
CAwr_S10451,-120.8123,35.3586
CAwr_S10452,-122.81742549,41.39815647
CAwr_S10453,-115.15160123,35.30387895
CAwr_S10454,-118.03424563,34.65871306
CAwr_S10455,-118.33198264,34.43835487
CAwr_S10456,-116.34974362,33.7489771
CAwr_S10457,-116.26379141,33.64577758
CAwr_S10458,-115.89918134,34.14204808
CAwr_S10459,-119.70862981,37.03172127
CAwr_S1046,-121.81585781,39.12737599
CAwr_S10460,-119.88986357,37.19980119
CAwr_S10461,-122.32256187,40.2693708
CAwr_S10462,-123.0990424,41.62940696
CAwr_S10463,-122.33285694,38.23709684
CAwr_S10464,-115.67357896,33.41397489
CAwr_S10465,-120.27779637,40.12859981
CAwr_S10466,-121.1557191,38.7736474
CAwr_S10467,-121.1564206,38.77365251
CAwr_S10468,-121.15641409,38.77420166
CAwr_S10469,-123.70699232,40.1266718
CAwr_S1047,-122.4752,40.5191
CAwr_S10470,-123.49860146,40.85440752
CAwr_S10471,-120.31427762,41.02040613
CAwr_S10472,-120.99216258,41.03982671
CAwr_S10473,-121.01244227,41.0900991
CAwr_S10474,-120.84724363,41.22157107
CAwr_S10475,-120.78918457,41.20560745
CAwr_S10476,-120.86233401,40.86210751
CAwr_S10477,-120.15551892,38.92382754
CAwr_S10478,-121.13895077,40.81989256
CAwr_S10479,-118.87634577,34.38454695
CAwr_S10480,-118.92901134,34.38681146
CAwr_S10481,-118.9822721,34.37050604
CAwr_S10482,-118.87634577,34.38454695
CAwr_S10483,-120.96569044,36.55679141
