SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S110,,CAos_WS5,Unspecified,Unspecified,NEVADA,4326,,,,,39.274,-120.917,,,Gage,SCOTTS FLAT,SFL,,Reservoir Gage,CA,
CAos_S111,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.207,-117.85799999999999,,,Gage,SAN GABRIEL,SGB,,Reservoir Gage,CA,
CAos_S112,,CAos_WS5,Unspecified,Unspecified,ORANGE,4326,,,,,33.785,-117.723,,,Gage,SANTIAGO CREEK RES (IRVINE LAKE),SGC,,Reservoir Gage,CA,
CAos_S113,,CAos_WS5,Unspecified,Unspecified,AMADOR,4326,,,,,38.669000000000004,-120.12100000000001,,,Gage,SILVER LAKE RESERVOIR,SIV,,Reservoir Gage,CA,
CAos_S114,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.583,-117.12200000000001,,,Gage,SKINNER,SKN,,Reservoir Gage,CA,
CAos_S115,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.7725,-120.6994,,,Gage,SLAB CREEK,SLB,,Reservoir Gage,CA,
CAos_S116,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.584,-121.116,,,Gage,SLY CREEK,SLC,,Reservoir Gage,CA,
CAos_S117,,CAos_WS5,Unspecified,Unspecified,MERCED,4326,,,,,37.001,-121.00200000000001,,,Gage,SAN LUIS RESERVOIR (FEDERAL),SLF,,Reservoir Gage,CA,
CAos_S118,,CAos_WS5,Unspecified,Unspecified,MARIN,4326,,,,,38.153,-122.78200000000001,,,Gage,SOULAJULE DAM,SLJ,,Reservoir Gage,CA,
CAos_S119,,CAos_WS5,Unspecified,Unspecified,AMADOR,4326,,,,,38.497,-120.21600000000001,,,Gage,SALT SPRINGS,SLS,,Reservoir Gage,CA,
CAos_S120,,CAos_WS5,Unspecified,Unspecified,SAN BERNARDINO,4326,,,,,34.304,-117.318,,,Gage,LAKE SILVERWOOD,SLW,,Reservoir Gage,CA,
CAos_S121,,CAos_WS5,Unspecified,Unspecified,MERCED,4326,,,,,37.033,-121.133,,,Gage,SAN LUIS RESERVOIR,SNL,,Reservoir Gage,CA,
CAos_S122,,CAos_WS5,Unspecified,Unspecified,SAN MATEO,4326,,,,,37.578,-122.412,,,Gage,SAN ANDREAS,SNN,,Reservoir Gage,CA,
CAos_S123,,CAos_WS5,Unspecified,Unspecified,CONTRA COSTA,4326,,,,,37.9423,-122.2587,,,Gage,SAN PABLO,SPB,,Reservoir Gage,CA,
CAos_S124,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,38.393,-119.99799999999999,,,Gage,SPICER MEADOWS,SPM,,Reservoir Gage,CA,
CAos_S125,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,33.118,-116.787,,,Gage,SUTHERLAND RESERVOIR,STD,,Reservoir Gage,CA,
CAos_S126,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020129.0,38.824580499999996,-120.5377903,,,Gage,SILVER CR BLW CAMINO DAM,SVC,,Stream Gage,CA,
