SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14308736BCB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.16464,-101.65705,,,POD,Wade Blank,14308736BCB,,WaDE Blank,ND,
NDssdw_S14308807CC,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21437,-101.88866,,,POD,Wade Blank,14308807CC,,WaDE Blank,ND,
NDssdw_S14308810A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.22339,-101.81214,,,POD,Wade Blank,14308810A,,WaDE Blank,ND,
NDssdw_S14308811A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.22335372,-101.7909905,,,POD,Wade Blank,14308811A,,WaDE Blank,ND,
NDssdw_S14308811C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21615,-101.80153,,,POD,Wade Blank,14308811C,,WaDE Blank,ND,
NDssdw_S14308811CB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21795,-101.80417,,,POD,Wade Blank,14308811CB,,WaDE Blank,ND,
NDssdw_S14308812B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.22339,-101.78039,,,POD,Wade Blank,14308812B,,WaDE Blank,ND,
NDssdw_S14308812C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21617,-101.78038,,,POD,Wade Blank,14308812C,,WaDE Blank,ND,
NDssdw_S14308812D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.2162,-101.76976,,,POD,Wade Blank,14308812D,,WaDE Blank,ND,
NDssdw_S14308814D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.20173,-101.79093,,,POD,Wade Blank,14308814D,,WaDE Blank,ND,
