,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
541,Woods Ranch, ,Woods Ranch,NC,563,0,UTAH11069,https://waterlink.utah.gov/deqWater/reports.html?systemId=1705, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.016318796,1.64E-05
542,Deer Haven Campground, ,Deer Haven Campground,NC,519,0,UTAH11019,https://waterlink.utah.gov/deqWater/reports.html?systemId=526, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013588212,9.97E-06
543,Kanarraville State Hwy RS, ,Kanarraville Highway Rest Stop,NC,516,0,UTAH11016,https://waterlink.utah.gov/deqWater/reports.html?systemId=359, , ,Utah,Iron,Kanab Creek/Virgin River,10/1/2003,Laverkin,10-01-03a,Kanarraville,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.015533887,1.14E-05
545,Sunshine Truck Stop, ,Sunshine Truck Stop,NP,527,0,UTAH11029,https://waterlink.utah.gov/deqWater/reports.html?systemId=1475, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2009,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013239021,7.79E-06
550,Minersville Lake County Park, ,Minersville Lake County Park,NC,15,0,UTAH01018,https://waterlink.utah.gov/deqWater/reports.html?systemId=975, , ,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,06-01-02a,Milford,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010638391,6.65E-06
554,Cove Fort North Bound RS, ,Cove Fort North Road Stop,NP,2495,0,UTAH01006,https://waterlink.utah.gov/deqWater/reports.html?systemId=493, , ,Utah,Beaver,Cedar/Beaver,6/1/2003,Cove Fort-Black Rock,06-01-03a,Cove Fort-Black Rock,1994,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.009263059,4.97E-06
556,Big Flat Guard Station, ,Big Flat Guard Station,NC,24,0,UTAH01028,https://waterlink.utah.gov/deqWater/reports.html?systemId=136, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004681968,1.39E-06
557,Anderson Meadow Campground, ,Anderson Meadow Campground,NC,8,0,UTAH01009,https://waterlink.utah.gov/deqWater/reports.html?systemId=28, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.00947154,5.06E-06
558,Kents Lake Campground, ,Kents Lake Campground,NC,7,0,UTAH01008,https://waterlink.utah.gov/deqWater/reports.html?systemId=380, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.01402625,5.79E-06
559,Mahogany Cove Campground, ,Mahogany Cove Campground,NC,22,0,UTAH01026,https://waterlink.utah.gov/deqWater/reports.html?systemId=905, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.011821252,7.00E-06
