,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
861,Lincoln Beach, ,Lincoln Beach,NC,1404,0,UTAH25129,https://waterlink.utah.gov/deqWater/reports.html?systemId=418, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.01762087,2.01E-05
862,Benjamin Park, ,Benjamin Park,NC,1423,0,UTAH25150,https://waterlink.utah.gov/deqWater/reports.html?systemId=126, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.005438438,1.76E-06
863,Benjamin Ward, ,Benjamin Ward,NC,2501,0,UTAH25057,https://waterlink.utah.gov/deqWater/reports.html?systemId=127, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.004660469,1.06E-06
864,Lake Shore Ward, ,Lake Shore Ward,NC,1357,0,UTAH25072,https://waterlink.utah.gov/deqWater/reports.html?systemId=386, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.004425781,1.22E-06
865,Palmyra LDS Ward, ,Palmyra LDS Ward,NC,1361,0,UTAH25076,https://waterlink.utah.gov/deqWater/reports.html?systemId=1118, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.00357354,7.63E-07
867,Diamond Fork Campground, ,Diamond Fork Campground,NC,1425,0,UTAH25099,https://waterlink.utah.gov/deqWater/reports.html?systemId=549, , ,Utah,Utah,Utah Lake,4/1/2004,Diamond Fork,04-01-04a,Diamond Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.031520068,1.95E-05
868,Whiting Campground, ,Whiting Campground,NC,1341,0,UTAH25054,https://waterlink.utah.gov/deqWater/reports.html?systemId=1674, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.018269185,9.99E-06
869,Jolley Park, ,Jolley Park,NC,1396,0,UTAH25120,https://waterlink.utah.gov/deqWater/reports.html?systemId=872, , ,Utah,Utah,Utah Lake,4/1/2005,Hobble Creek,04-01-05a,Hobble Creek,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.034128062,2.45E-05
870,Cherry Picnic Site, ,Cherry Picnic Site,NP,1383,0,UTAH25100,https://waterlink.utah.gov/deqWater/reports.html?systemId=316, , ,Utah,Utah,Utah Lake,4/1/2005,Hobble Creek,04-01-05a,Hobble Creek,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.013358525,5.72E-06
871,Balsam Campground, ,Balsam Campground,NC,1330,0,UTAH25041,https://waterlink.utah.gov/deqWater/reports.html?systemId=83, , ,Utah,Utah,Utah Lake,4/1/2005,Hobble Creek,04-01-05a,Hobble Creek,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.011059312,4.09E-06
873,Trefoil Ranch Girl Scout Camp, ,Trefoil Ranch Girl Scout Camp,NC,1371,0,UTAH25087,https://waterlink.utah.gov/deqWater/reports.html?systemId=1542, , ,Utah,Utah,Utah Lake,4/1/2009,Vivian Park,04-01-09a,Vivian Park,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.02003072,1.29E-05
874,Hope Campground, ,Hope Campground,NP,1385,0,UTAH25104,https://waterlink.utah.gov/deqWater/reports.html?systemId=819, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10c,Provo,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.009133548,5.84E-06
875,Wlidwood Subdivision, ,Wlidwood Subdivision,NC,1325,0,UTAH25035,https://waterlink.utah.gov/deqWater/reports.html?systemId=1676, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.012247618,4.74E-06
876,Deer Creek Park, ,Deer Creek Park,NC,1465,0,UTAH26033,https://waterlink.utah.gov/deqWater/reports.html?systemId=525, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.030948629,4.63E-05
877,Island Beach, ,Island Beach,NC,1503,0,UTAH26078,https://waterlink.utah.gov/deqWater/reports.html?systemId=852, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.01354471,4.43E-06
878,Cascade Springs Interpretive Site, ,Cascade Springs Interpretive Site,NC,1452,0,UTAH26016,https://waterlink.utah.gov/deqWater/reports.html?systemId=273, , ,Utah,Wasatch,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.015629566,1.40E-05
879,Brickerhaven Subdivision, ,Brickerhaven Subdivision,NC,1314,0,UTAH25023,https://waterlink.utah.gov/deqWater/reports.html?systemId=173, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.018292911,1.05E-05
880,Theater In Pines & Mt Timpanogas, ,Theater In Pines & Mt Timpanogas,NC,1338,0,UTAH25051,https://waterlink.utah.gov/deqWater/reports.html?systemId=1506, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.008149204,3.64E-06
881,Timpooneke Campground GS, ,Timpooneke Campground GS,NC,1339,0,UTAH25052,https://waterlink.utah.gov/deqWater/reports.html?systemId=1526, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.013942704,8.56E-06
882,Mutual Dell Recreation, ,Mutual Dell Recreation,NC,1360,0,UTAH25075,https://waterlink.utah.gov/deqWater/reports.html?systemId=1035, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.009660969,5.68E-06
883,American Fork Recreation Site, ,American Fork Recreation Site,NC,1329,0,UTAH25040,https://waterlink.utah.gov/deqWater/reports.html?systemId=22, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.00335996,6.32E-07
884,Tibble Fork Recreational Homes, ,Tibble Fork Recreational Homes,NC,1368,0,UTAH25084,https://waterlink.utah.gov/deqWater/reports.html?systemId=1516, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.018794961,1.39E-05
885,Granite Flat Campground, ,Granite Flat Campground,NC,1332,0,UTAH25043,https://waterlink.utah.gov/deqWater/reports.html?systemId=727, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.024531114,2.26E-05
886,Silver Lake Summer Homes, ,Silver Lake Summer Homes,NC,1365,0,UTAH25081,https://waterlink.utah.gov/deqWater/reports.html?systemId=1335, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.018369511,1.51E-05
887,Timpanogos Visitor Center, ,Timpanogos Visitor Center,NC,1386,0,UTAH25105,https://waterlink.utah.gov/deqWater/reports.html?systemId=1525, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.007010127,2.28E-06
888,Utah Lake State Park, , ,NC,2200,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/11/2017 0:00,ADAMCLARK,8/11/2017 0:00,,0.027624521,2.91E-05
889,Jehovahs Witness Church, ,Jehovahs Witness Church,NC,1408,0,UTAH25133,https://waterlink.utah.gov/deqWater/reports.html?systemId=864, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/11/2017 0:00,ADAMCLARK,8/11/2017 0:00,,0.002850294,4.63E-07
894,New Haven Girls Saratoga, ,New Haven-Saratoga,NP,1433,0,UTAH25161,https://waterlink.utah.gov/deqWater/reports.html?systemId=1046, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10b,Saratoga Springs,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.010735349,3.17E-06
895,Willow Park, ,Willow Park,NC,1407,0,UTAH25132,https://waterlink.utah.gov/deqWater/reports.html?systemId=1683, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.011930741,5.50E-06
901,Ibapah LDS Church, ,Ibapah LDS Church,NC,1229,0,UTAH23056,https://waterlink.utah.gov/deqWater/reports.html?systemId=833, , ,Utah,Tooele,West Desert,00-02-03,Deep Creek,00-02-03a,Deep Creek,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.002301149,3.22E-07
902,Ibapah School, ,Ibapah School,NTNC,2500,0,UTAH23031,https://waterlink.utah.gov/deqWater/reports.html?systemId=834, , ,Utah,Tooele,West Desert,00-02-03,Deep Creek,00-02-03a,Deep Creek,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.002825313,4.74E-07
904,Salt Flats Rest Stop, ,Salt Flats Highway Rest Stop,NC,1198,0,UTAH23012,https://waterlink.utah.gov/deqWater/reports.html?systemId=1288, , ,Utah,Tooele,West Desert,00-02-01,North GSL Desert,00-02-01a,North GSL Desert,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.011737932,3.27E-06
909,Grassy Mountain Rest Stop, ,Grassy Mountain Rest Stop,NC,1245,0,UTAH23073,https://waterlink.utah.gov/deqWater/reports.html?systemId=732, , ,Utah,Tooele,West Desert,00-02-01,North GSL Desert,00-02-01a,North GSL Desert,0,DWRe,8/17/2017 0:00,ADAMCLARK,8/17/2017 0:00,,0.014084064,4.20E-06
910,Delle Auto Truck Stop, ,Delle Auto Truck Stop,NC,1206,0,UTAH23028,https://waterlink.utah.gov/deqWater/reports.html?systemId=532, , ,Utah,Tooele,West Desert,00-04-00,Skull Valley,00-04-00a,Skull Valley,0,DWRe,8/17/2017 0:00,ADAMCLARK,8/17/2017 0:00,,0.010575662,6.87E-06
914,Dugway Ward, ,Dugway Ward,NC,1237,0,UTAH23065,https://waterlink.utah.gov/deqWater/reports.html?systemId=571, , ,Utah,Tooele,West Desert,00-04-00,Skull Valley,00-04-00a,Skull Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.004076101,9.92E-07
917,Rush Valley LDS Church, ,Rush Valley LDS Church,NC,1217,0,UTAH23043,https://waterlink.utah.gov/deqWater/reports.html?systemId=1280, , ,Utah,Tooele,West Desert,00-05-01,Rush Valley,00-05-01a,Rush Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.003407668,7.01E-07
919,Penneys Grill LLC, ,Penneys Grill LLC,NC,1246,0,UTAH23075,https://waterlink.utah.gov/deqWater/reports.html?systemId=1147, , ,Utah,Tooele,West Desert,00-05-01,Rush Valley,00-05-01a,Rush Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.003235464,5.85E-07
920,Erda Ward, ,Erda Ward,NC,1241,0,UTAH23069,https://waterlink.utah.gov/deqWater/reports.html?systemId=630, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.004735722,1.39E-06
921,Erda Center Water System, ,Erda Center Water System,NC,1249,0,UTAH23078,https://waterlink.utah.gov/deqWater/reports.html?systemId=628, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.004713981,1.39E-06
922,Motor VU Theatre, ,Motor VU Theatre,NC,1213,0,UTAH23037,https://waterlink.utah.gov/deqWater/reports.html?systemId=1001, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.00702423,3.16E-06
923,Lake Point Ward, ,Lakepoint Ward,NP,1211,0,UTAH23034,https://waterlink.utah.gov/deqWater/reports.html?systemId=390, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.004258676,1.09E-06
924,Storm Mountain Campground, ,Storm Mountain Campground,NP,842,0,UTAH18069,https://waterlink.utah.gov/deqWater/reports.html?systemId=1443, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.009365576,4.27E-06
925,Tanners Flat Campground, ,Tanners Flat Campground,NC,843,0,UTAH18070,https://waterlink.utah.gov/deqWater/reports.html?systemId=1491, , ,Utah,Salt Lake,Jordan River,3/1/2007,Little Cottonwood Creek,03-01-07a,Little Cottonwood Creek,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.017469665,1.27E-05
926,Alibion Basin Campground, ,Alibion Basin Campground,NC,837,0,UTAH18062,https://waterlink.utah.gov/deqWater/reports.html?systemId=8, , ,Utah,Salt Lake,Jordan River,2/1/2009,Little Cottonwood Creek,02-01-09a,Little Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.011954215,1.07E-05
927,Alf's Inn (Alta), ,Alfs Inn,NC,828,0,UTAH18052,https://waterlink.utah.gov/deqWater/reports.html?systemId=9, , ,Utah,Salt Lake,Jordan River,2/1/2009,Little Cottonwood Creek,02-01-09a,Little Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.003349154,7.02E-07
928,Watson's Shelter Water System (Alta), ,Watson Shelter Water System,NC,878,0,UTAH18125,https://waterlink.utah.gov/deqWater/reports.html?systemId=1628, , ,Utah,Salt Lake,Jordan River,2/1/2009,Little Cottonwood Creek,02-01-09a,Little Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.003629293,7.39E-07
929,Mid-Gad (Snowbird), ,SL County Service Area No 3 - Mid-Gad,NC,796,0,UTAH18015,https://waterlink.utah.gov/deqWater/reports.html?systemId=951, , ,Utah,Salt Lake,Jordan River,2/1/2009,Little Cottonwood Creek,02-01-09a,Little Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.002463245,3.78E-07
930,Brighton LDS Summer Camp, ,Brighton LDS Summer Camp,NC,812,0,UTAH18033,https://waterlink.utah.gov/deqWater/reports.html?systemId=181, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.007429894,3.13E-06
931,Camp Tuttle, ,Camp Tuttle (Episcopal),NC,854,0,UTAH18088,https://waterlink.utah.gov/deqWater/reports.html?systemId=240, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.01165022,9.11E-06
932,Lady of the Lake Subdivision, ,Lady of the Lake Subdivision,NP,814,0,UTAH18035,https://waterlink.utah.gov/deqWater/reports.html?systemId=891, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/21/2017 0:00,ADAMCLARK,8/21/2017 0:00,,0.011027583,7.70E-06
933,Forest Glen A, ,Forest Glen A,NC,820,0,UTAH18044,https://waterlink.utah.gov/deqWater/reports.html?systemId=666, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.014893972,6.64E-06
934,Forest Glen B And C Water System, ,Forest Glen B And C Water System,NC,817,0,UTAH18039,https://waterlink.utah.gov/deqWater/reports.html?systemId=667, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.031235761,2.17E-05
935,Redman Campground, ,Redman Campground,NC,840,0,UTAH18067,https://waterlink.utah.gov/deqWater/reports.html?systemId=1237, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.022980415,3.02E-05
936,Solitude Ski Resort, ,Solitude Ski Resort,NC,823,0,UTAH18047,https://waterlink.utah.gov/deqWater/reports.html?systemId=1371, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.023898805,2.05E-05
937,Spruces Campground, ,Spruces Campground,NC,841,0,UTAH18068,https://waterlink.utah.gov/deqWater/reports.html?systemId=1423, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.041930314,4.09E-05
938,Mill D Subdivision, ,Mill D Subdivision,NC,836,0,UTAH18061,https://waterlink.utah.gov/deqWater/reports.html?systemId=961, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.015917527,1.36E-05
939,Mount Haven, , ,NC,831,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.015455638,1.25E-05
940,Jordan Pines Campground, ,Jordan Pines Campground,NC,839,0,UTAH18066,https://waterlink.utah.gov/deqWater/reports.html?systemId=874, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.01043928,6.91E-06
941,Cardiff A.P.O., ,Cardiff A.P.O.,NC,891,0,UTAH18140,https://waterlink.utah.gov/deqWater/reports.html?systemId=269, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.01423613,1.14E-05
942,Big Cottonwood Pine Tree Water Co Inc., ,Big Cottonwood Pine Tree Water Co Inc.,NC,890,0,UTAH18139,https://waterlink.utah.gov/deqWater/reports.html?systemId=1165, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.018473748,8.20E-06
944,Mountain Dell Cafe And Golf Course, ,Mountain Dell Cafe And Golf Course,NC,865,0,UTAH18104,https://waterlink.utah.gov/deqWater/reports.html?systemId=1014, , ,Utah,Salt Lake,Jordan River,3/1/2004,Parley's Creek,03-01-04a,Parley's Creek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.109740919,0.000143604
945,Firs Summer Cabins, ,Firs Summer Cabins,NC,832,0,UTAH18056,https://waterlink.utah.gov/deqWater/reports.html?systemId=652, , ,Utah,Salt Lake,Jordan River,3/1/2005,Millcreek,03-01-05a,Millcreek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.009293715,4.02E-06
946,Terrace-Maple Grove Campground, ,Terrace-Maple Grove Campground,NC,844,0,UTAH18071,https://waterlink.utah.gov/deqWater/reports.html?systemId=1501, , ,Utah,Salt Lake,Jordan River,3/1/2005,Millcreek,03-01-05a,Millcreek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.00893261,2.94E-06
947,Log Haven Restaurant, ,Log Haven Restaurant,NC,862,0,UTAH18098,https://waterlink.utah.gov/deqWater/reports.html?systemId=437, , ,Utah,Salt Lake,Jordan River,3/1/2005,Millcreek,03-01-05a,Millcreek,0,DWRe,8/29/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.006239145,1.72E-06
948,Camp Tracy, ,Camp Tracy,NC,829,0,UTAH18053,https://waterlink.utah.gov/deqWater/reports.html?systemId=1536, , ,Utah,Salt Lake,Jordan River,3/1/2005,Millcreek,03-01-05a,Millcreek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.018113406,6.02E-06
949,Church Fork Picnic Area, ,Church Fork Picnic Area,NP,838,0,UTAH18065,https://waterlink.utah.gov/deqWater/reports.html?systemId=326, , ,Utah,Salt Lake,Jordan River,3/1/2005,Millcreek,03-01-05a,Millcreek,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.006447212,1.62E-06
950,Little Deer Creek Campground, ,Little Deer Creek Camp,NC,1471,0,UTAH26042,https://waterlink.utah.gov/deqWater/reports.html?systemId=423, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.009088764,6.03E-06
952,Oak Haven Water Co., ,Oak Haven Water Company,NC,1472,0,UTAH26043,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11082, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.033377005,5.31E-05
953,Camp Cloud Rim (Utah Girl Scouts), ,Camp Cloud Rim,NC,1457,0,UTAH26022,https://waterlink.utah.gov/deqWater/reports.html?systemId=223, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.010847829,7.21E-06
954,Wasatch Mountain State Park, ,Wasatch Mountain St Park,NC,1448,0,UTAH26010,https://waterlink.utah.gov/deqWater/reports.html?systemId=1618, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.087415143,0.000145836
955,Homestead Resort - Golf Course, , ,NC,2312,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.047386388,3.71E-05
956,The Other End, , ,NC,1478,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.00306119,3.65E-07
957,Heber City Kingdom Hall, ,Heber City Kingdom Hall,NC,1514,0,UTAH26089,https://waterlink.utah.gov/deqWater/reports.html?systemId=764, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.002827178,4.58E-07
958,Heber East Stake Center, ,Heber East Stake Center,NC,1467,0,UTAH26037,https://waterlink.utah.gov/deqWater/reports.html?systemId=766, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/29/2017 0:00,ADAMCLARK,8/29/2017 0:00,,0.004337872,1.18E-06
959,Solid Waste Transfer Station, , ,NC,2227,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/31/2017 0:00,ADAMCLARK,8/31/2017 0:00,,0.00450602,8.96E-07
960,Heber Ranger District, ,Heber Ranger District,NP,1512,0,UTAH26087,https://waterlink.utah.gov/deqWater/reports.html?systemId=767, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/31/2017 0:00,ADAMCLARK,8/31/2017 0:00,,0.008987123,4.45E-06
961,Lake Creek Recreation Properties, ,Lake Creek Recreation Properties,NC,1509,0,UTAH26084,https://waterlink.utah.gov/deqWater/reports.html?systemId=893, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,0,DWRe,8/31/2017 0:00,ADAMCLARK,8/31/2017 0:00,,0.01542507,1.71E-05
962,Mill Hollow Campground, ,Mill Hollow Campground,NC,1455,0,UTAH26020,https://waterlink.utah.gov/deqWater/reports.html?systemId=963, , ,Utah,Wasatch,Utah Lake,4/1/2006,Woodland,04-01-06a,Woodland,0,DWRe,8/31/2017 0:00,ADAMCLARK,8/31/2017 0:00,,0.011669318,9.11E-06
