ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
TWDB,2001,48481,JASPER,County,55,48481,
TWDB,2001,48485,JEFF DAVIS,County,55,48485,
TWDB,2001,48489,JEFFERSON,County,55,48489,
TWDB,2001,48493,JIM HOGG,County,55,48493,
TWDB,2001,48497,JIM WELLS,County,55,48497,
TWDB,2001,48501,JOHNSON,County,55,48501,
TWDB,2001,48505,JONES,County,55,48505,
TWDB,2001,48509,KARNES,County,55,48509,
TWDB,2001,48513,KAUFMAN,County,55,48513,
TWDB,2001,48517,KENDALL,County,55,48517,
TWDB,2001,48521,KENEDY,County,55,48521,
TWDB,2001,48525,KENT,County,55,48525,
TWDB,2001,48529,KERR,County,55,48529,
TWDB,2001,48533,KIMBLE,County,55,48533,
TWDB,2001,48537,KING,County,55,48537,
TWDB,2001,48541,KINNEY,County,55,48541,
TWDB,2001,48545,KLEBERG,County,55,48545,
TWDB,2001,48549,KNOX,County,55,48549,
TWDB,2001,48565,LA SALLE,County,55,48565,
TWDB,2001,48553,LAMAR,County,55,48553,
TWDB,2001,48557,LAMB,County,55,48557,
TWDB,2001,48561,LAMPASAS,County,55,48561,
TWDB,2001,48569,LAVACA,County,55,48569,
TWDB,2001,48573,LEE,County,55,48573,
TWDB,2001,48577,LEON,County,55,48577,
TWDB,2001,48581,LIBERTY,County,55,48581,
TWDB,2001,48585,LIMESTONE,County,55,48585,
TWDB,2001,48589,LIPSCOMB,County,55,48589,
TWDB,2001,48593,LIVE OAK,County,55,48593,
TWDB,2001,48597,LLANO,County,55,48597,
TWDB,2001,48601,LOVING,County,55,48601,
TWDB,2001,48605,LUBBOCK,County,55,48605,
TWDB,2001,48609,LYNN,County,55,48609,
TWDB,2001,48625,MADISON,County,55,48625,
TWDB,2001,48629,MARION,County,55,48629,
TWDB,2001,48633,MARTIN,County,55,48633,
TWDB,2001,48637,MASON,County,55,48637,
TWDB,2001,48641,MATAGORDA,County,55,48641,
TWDB,2001,48645,MAVERICK,County,55,48645,
TWDB,2001,48613,MCCULLOCH,County,55,48613,
TWDB,2001,48617,MCLENNAN,County,55,48617,
TWDB,2001,48621,MCMULLEN,County,55,48621,
TWDB,2001,48649,MEDINA,County,55,48649,
TWDB,2001,48653,MENARD,County,55,48653,
TWDB,2001,48657,MIDLAND,County,55,48657,
TWDB,2001,48661,MILAM,County,55,48661,
TWDB,2001,48665,MILLS,County,55,48665,
TWDB,2001,48669,MITCHELL,County,55,48669,
TWDB,2001,48673,MONTAGUE,County,55,48673,
TWDB,2001,48677,MONTGOMERY,County,55,48677,
TWDB,2001,48681,MOORE,County,55,48681,
TWDB,2001,48685,MORRIS,County,55,48685,
TWDB,2001,48689,MOTLEY,County,55,48689,
TWDB,2001,48693,NACOGDOCHES,County,55,48693,
TWDB,2001,48697,NAVARRO,County,55,48697,
TWDB,2001,48701,NEWTON,County,55,48701,
TWDB,2001,48705,NOLAN,County,55,48705,
TWDB,2001,48709,NUECES,County,55,48709,
TWDB,2001,48713,OCHILTREE,County,55,48713,
TWDB,2001,48717,OLDHAM,County,55,48717,
TWDB,2001,48721,ORANGE,County,55,48721,
TWDB,2001,48725,PALO PINTO,County,55,48725,
TWDB,2001,48729,PANOLA,County,55,48729,
TWDB,2001,48733,PARKER,County,55,48733,
TWDB,2001,48737,PARMER,County,55,48737,
TWDB,2001,48741,PECOS,County,55,48741,
TWDB,2001,48745,POLK,County,55,48745,
TWDB,2001,48749,POTTER,County,55,48749,
TWDB,2001,48753,PRESIDIO,County,55,48753,
TWDB,2001,48757,RAINS,County,55,48757,
TWDB,2001,48761,RANDALL,County,55,48761,
TWDB,2001,48765,REAGAN,County,55,48765,
TWDB,2001,48769,REAL,County,55,48769,
TWDB,2001,48773,RED RIVER,County,55,48773,
TWDB,2001,48777,REEVES,County,55,48777,
TWDB,2001,48781,REFUGIO,County,55,48781,
TWDB,2001,48785,ROBERTS,County,55,48785,
TWDB,2001,48789,ROBERTSON,County,55,48789,
TWDB,2001,48793,ROCKWALL,County,55,48793,
TWDB,2001,48797,RUNNELS,County,55,48797,
TWDB,2001,48801,RUSK,County,55,48801,
TWDB,2001,48805,SABINE,County,55,48805,
TWDB,2001,48809,SAN AUGUSTINE,County,55,48809,
TWDB,2001,48813,SAN JACINTO,County,55,48813,
TWDB,2001,48817,SAN PATRICIO,County,55,48817,
TWDB,2001,48821,SAN SABA,County,55,48821,
TWDB,2001,48825,SCHLEICHER,County,55,48825,
TWDB,2001,48829,SCURRY,County,55,48829,
TWDB,2001,48833,SHACKELFORD,County,55,48833,
TWDB,2001,48837,SHELBY,County,55,48837,
TWDB,2001,48841,SHERMAN,County,55,48841,
TWDB,2001,48845,SMITH,County,55,48845,
TWDB,2001,48849,SOMERVELL,County,55,48849,
TWDB,2001,48853,STARR,County,55,48853,
TWDB,2001,48857,STEPHENS,County,55,48857,
TWDB,2001,48861,STERLING,County,55,48861,
TWDB,2001,48865,STONEWALL,County,55,48865,
TWDB,2001,48869,SUTTON,County,55,48869,
TWDB,2001,48873,SWISHER,County,55,48873,
TWDB,2001,48877,TARRANT,County,55,48877,
TWDB,2001,48881,TAYLOR,County,55,48881,
TWDB,2001,48885,TERRELL,County,55,48885,
TWDB,2001,48889,TERRY,County,55,48889,
TWDB,2001,48893,THROCKMORTON,County,55,48893,
TWDB,2001,48897,TITUS,County,55,48897,
TWDB,2001,48901,TOM GREEN,County,55,48901,
TWDB,2001,48905,TRAVIS,County,55,48905,
TWDB,2001,48909,TRINITY,County,55,48909,
TWDB,2001,48913,TYLER,County,55,48913,
TWDB,2001,48917,UPSHUR,County,55,48917,
TWDB,2001,48921,UPTON,County,55,48921,
TWDB,2001,48925,UVALDE,County,55,48925,
