MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,45.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1998,,12/31/1998,01/01/1998,Bad SiteUUID,9615.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,57.97,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1999,,12/31/1999,01/01/1999,Bad SiteUUID,9616.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1592.11,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad SiteUUID,9617.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,48.67,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad SiteUUID,9618.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,103.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad SiteUUID,9619.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,95.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad SiteUUID,9620.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,65.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad SiteUUID,9621.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,59.1,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad SiteUUID,9622.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,12.2,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1988,,12/31/1988,01/01/1988,Bad SiteUUID,9623.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,59.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1996,,12/31/1996,01/01/1996,Bad SiteUUID,9624.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,21.59,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1997,,12/31/1997,01/01/1997,Bad SiteUUID,9625.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2717.8,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2007,,12/31/2007,01/01/2007,Bad SiteUUID,9626.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2961.02,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1992,,12/31/1992,01/01/1992,Bad SiteUUID,9627.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1073.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1976,,12/31/1976,01/01/1976,Bad SiteUUID,9628.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1342.7,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1978,,12/31/1978,01/01/1978,Bad SiteUUID,9629.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1317.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1979,,12/31/1979,01/01/1979,Bad SiteUUID,9630.0
