SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1468,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.670248,-106.10303300000001,,,POD,W0137 WELL NO 03,WaDECO_S2341,,WELL,CO,
COss_S1469,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.751633,-106.102231,,,POD,W0140 WELL NO PUMP 02,WaDECO_S2342,,WELL,CO,
COss_S1470,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.728283000000005,-106.029214,,,POD,W0140 WELL NO PUMP 08,WaDECO_S2343,,WELL,CO,
COss_S1471,,COss_WS185,,Unspecified,SAGUACHE,4326,,1385432.0,,,37.763856,-106.10303600000002,,,POD,W0140 WELL NO PUMP 11,WaDECO_S2344,,WELL,CO,
COss_S1472,,COss_WS186,,Unspecified,ALAMOSA,4326,,,,,37.364306,-106.01108799999999,,,POD,W0144 WELL NO 01,WaDECO_S2345,,WELL,CO,
COss_S1473,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.729997999999995,-106.07044199999999,,,POD,W0148 WELL NO PUMP 03,WaDECO_S2346,,WELL,CO,
COss_S1474,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.726702,-106.07508100000001,,,POD,W0148 WELL NO PUMP 05,WaDECO_S2347,,WELL,CO,
COss_S1475,,COss_WS186,,Unspecified,ALAMOSA,4326,,,,,37.440861,-105.965341,,,POD,W0149 WELL NO 01,WaDECO_S2348,,WELL,CO,
COss_S1476,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.646694000000004,-106.195031,,,POD,W0151 WELL NO 02,WaDECO_S2349,,WELL,CO,
COss_S1477,,COss_WS59,,Unspecified,JEFFERSON,4326,,178354.0,,,39.881277000000004,-105.29244399999999,,,POD,HARPE SPRING,WaDECO_S235,,SPRING,CO,
COss_S1478,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.621474,-106.04826100000001,,,POD,W0153 WELL NO 02,WaDECO_S2350,,WELL,CO,
COss_S1479,,COss_WS186,,Unspecified,SAGUACHE,4326,,,,,37.778696000000004,-105.85638999999999,,,POD,W0156 WELL NO 01,WaDECO_S2351,,WELL,CO,
COss_S1480,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.764728000000005,-106.08493,,,POD,W0162 WELL NO 04,WaDECO_S2352,,WELL,CO,
COss_S1481,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.670856,-106.222371,,,POD,W0165 WELL NO 02,WaDECO_S2353,,WELL,CO,
COss_S1482,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.553404,-106.18568300000001,,,POD,W0166 WELL NO 01,WaDECO_S2354,,WELL,CO,
COss_S1483,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.542429,-106.056299,,,POD,W0167 WELL NO 01,WaDECO_S2355,,WELL,CO,
COss_S1484,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.459228,-106.075243,,,POD,W0168 WELL NO 01,WaDECO_S2356,,WELL,CO,
COss_S1485,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.429741,-106.14568600000001,,,POD,W0171 WELL NO 01,WaDECO_S2357,,WELL,CO,
COss_S1486,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.688402,-106.313979,,,POD,W0172 WELL NO 01,WaDECO_S2358,,WELL,CO,
COss_S1487,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.713729,-106.323503,,,POD,W0173 WELL NO 01,WaDECO_S2359,,WELL,CO,
COss_S1488,,COss_WS23,,Unspecified,BOULDER,4326,,,,,40.009291,-105.13811899999999,,,POD,SHANNON W&SD AUG 79-181,WaDECO_S236,,AUGMENTATION/REPLACEMENT PLAN,CO,
