WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100826,100826,PETERSON DITCH 1,,,-103.559177,40.389339,,5107,GPS,0.01,0.01,
100827,100827,PLUSS KAUFFMAN DIVR 1,,,-104.379721,40.117607,,5107,Spotted from quarters,0.01,0.01,
100828,100828,PLUSS KAUFFMAN DIVR 2,,,-104.384513,40.108564,,5107,Spotted from quarters,0.01,0.01,
100829,100829,PREWITT INLET CANAL,,,-103.478322,40.379763,,5107,Digitized,0.01,0.01,
100830,100830,REININGER PUMPING PLANT,,,-104.461186,39.445216,,5107,Spotted from quarters,0.01,0.01,
100831,100831,ROSENER DITCHES,,,-103.877077,40.051613,,5107,Spotted from quarters,0.01,0.01,
100832,100832,ROTH PUMPING PLANT,,,-104.596495,40.461694,,5107,GPS,0.01,0.01,
100835,100835,SEVEN CROSS D-MAPELLI F,,,-104.327113,40.684498,,5107,GPS,0.01,0.01,
100836,100836,SPWCP SOUTH PLATTE RIVER INTAKE,,,-104.600606,40.423519,,5107,Spotted from quarters,0.01,0.01,
100837,100837,SIDWELL SUMP 4,,,-104.809204,40.800592,,5107,Spotted from quarters,0.01,0.01,
100838,100838,SIMPSON CREEK R OUTLET,,,-104.516381,40.977246,,5107,GPS,0.01,0.01,
100839,100839,TODD BEAN/SELECT ENERGY PUMP & RESERVOIR,,,-104.597508,40.422454,,5107,Digitized,0.01,0.01,
100840,100840,SIDES R OUTLET DITCH,,,-104.387603,40.810342,,5107,GPS,0.01,0.01,
100841,100841,SPRING CREEK DITCH 1,,,-104.878411,40.829641,,5107,Spotted from quarters,0.01,0.01,
100842,100842,STEVENS DIVR STRUCTURE 1,,,-104.585229,40.03243,,5107,GPS,0.01,0.01,
100843,100843,TETSEL CLOVERLEAF DIVR,,,-103.481326,40.38028,,5107,Digitized,0.01,0.01,
100844,100844,W S STRATTON DITCH 1,,,-103.255399,40.281429,,5107,Spotted from section lines,0.01,0.01,
100846,100846,WARNER SLOUGH,,,-104.19264,40.294083,,5107,Spotted from quarters,0.01,0.01,
100847,100847,SPWCP RIVERSIDE INTAKE,,,-104.468972,40.379692,,5107,Spotted from section lines,0.01,0.01,
