OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,COLORADO RIVER COMPACT,Lower Weber,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Utah Lake,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Spanish Fork,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Provo,10/1/2013
CODWR,COLORADO RIVER COMPACT,Jordan,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Hamlin-Snake Valleys,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Pine Valley,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Tule Valley,10/1/2013
CODWR,COLORADO RIVER COMPACT,Rush-Tooele Valleys,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Skull Valley,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Southern Great Salt Lake Desert,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY","Pilot-Thousand Springs, Nevada, Utah",10/1/2013
CODWR,COLORADO RIVER COMPACT,Northern Great Salt Lake Desert,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Curlew Valley,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Great Salt Lake,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Upper Sevier,10/1/2013
CODWR,COLORADO RIVER COMPACT,East Fork Sevier,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Middle Sevier,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,San Pitch,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Lower Sevier,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Escalante Desert,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Beaver Bottoms-Upper Beaver,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Lower Beaver,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Sevier Lake,10/1/2013
