SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_323327111221601,323327111221601,Unspecified,,GWSI,-111.37301927554581,32.55856054985171,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333836111565401,333836111565401,Unspecified,,GWSI,-111.9481877408475,33.6431462678219,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334026111434701,334026111434701,Unspecified,,GWSI,-111.73001254272474,33.673776814278995,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334817112141101,334817112141101,Unspecified,,GWSI,-112.23723639911307,33.804124313264055,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334754112144901,334754112144901,Unspecified,,GWSI,-112.24794322004419,33.79869559973615,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334756112153201,334756112153201,Unspecified,,GWSI,-112.25880128710715,33.798747602373105,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334754112160101,334754112160101,Unspecified,,GWSI,-112.26753245441286,33.796971756942085,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334722112102301,334722112102301,Unspecified,,GWSI,-112.17284699758343,33.789836801489336,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334750112082001,334750112082001,Unspecified,,INDEX,-112.14038670766742,33.79722067322623,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334740112082001,334740112082001,Unspecified,,GWSI,-112.1403594295357,33.79540820037312,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334537112024801,334537112024801,Unspecified,,GWSI,-112.04662297633139,33.7601012944757,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334750112142901,334750112142901,Unspecified,,INDEX,-112.2414025639486,33.79683165930169,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334659111513901,334659111513901,Unspecified,,GWSI,-111.86183624344113,33.78200272052263,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
