MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1516.47,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1505.4,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2008,,2008-12-31,2008-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1275.52,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2009,,2009-12-31,2009-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1368.6,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2010,,2010-12-31,2010-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1415.33,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2013,,2013-12-31,2013-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1010.36,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2014,,2014-12-31,2014-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,879.62,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2015,,2015-12-31,2015-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,859.4,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2016,,2016-12-31,2016-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1139.26,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2017,,2017-12-31,2017-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1251.75,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2018,,2018-12-31,2018-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1259.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2019,,2019-12-31,2019-01-01
UDWR_Water Use Data,UDWR,UTSS_S7,UDWR_Site Specific Withdrawal,UTSS_WS7,0.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
UDWR_Water Use Data,UDWR,UTSS_S12,UDWR_Site Specific Withdrawal,UTSS_WS12,0.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S14,UDWR_Site Specific Withdrawal,UTSS_WS14,0.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,3.46506,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,96.74837,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,54.8445,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,46.61529,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
