,AllocationAmount,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationLegalStatusCV,AllocationMaximum,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDOI,DataPublicationDate,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,ReasonRemoved,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,index
58,"0.79,0.31",,,,,,,,,Active,,A-2145,,1930-06-14,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5634,NE_5633",NEDNR_Allocation All,,NE_88,5530.0
59,"0.82,2.1",,,,,,,,,Active,,A-2262,,1932-03-01,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5660,NE_5659",NEDNR_Allocation All,,NE_88,5555.0
60,"0.2,1.92,1.09",,,,,,,,,Active,,A-2263R,,1932-03-18,,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5667,NE_5668,NE_5666",NEDNR_Allocation All,,NE_51,5561.0
61,"3.63,0.37,27.33",,,,,,,,,Active,,A-2293A,,1932-12-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5685,NE_5684,NE_5683",NEDNR_Allocation All,,NE_61,5576.0
62,"1.98,26.04,37.15",,,,,,,,,Active,,A-2293B,,1932-12-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation and Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5687,NE_5686,NE_5688",NEDNR_Allocation All,,NE_61,5577.0
63,"75.53,12.89",,,,,,,,,Active,,A-2312A,,1933-03-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5694,NE_5693",NEDNR_Allocation All,,NE_51,5582.0
64,"9.15,29.07",,,,,,,,,Active,,A-2312B,,1933-03-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5696,NE_5695",NEDNR_Allocation All,,NE_51,5583.0
65,"32.72,7.62",,,,,,,,,Active,,A-2312CR,,1933-03-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5698,NE_5697",NEDNR_Allocation All,,NE_51,5584.0
66,"0.06,0.15",,,,,,,,,Active,,A-2318,,1933-04-17,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5701,NE_5702",NEDNR_Allocation All,,NE_71,5587.0
67,"0.43,1.0",,,,,,,,,Active,,A-2344,,1933-08-17,,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5713,NE_5712",NEDNR_Allocation All,,"NE_568,NE_374",5597.0
68,"0.19,2.24",,,,,,,,,Active,,A-2409,,1889-03-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_5740,NE_5739",NEDNR_Allocation All,,NE_578,5623.0
