SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAss_S981,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,HOWELL MOUNTAIN SCHOOL,,,,CA,,Bad Latitude,980.0
CAss_S982,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CHATEAU MONTELENA WINERY,,,,CA,,Bad Latitude,981.0
CAss_S983,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CONN CREEK WINERY,,,,CA,,Bad Latitude,982.0
CAss_S984,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COSENTINO WINERY,,,,CA,,Bad Latitude,983.0
CAss_S985,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CARDINALE ESTATE,,,,CA,,Bad Latitude,984.0
CAss_S986,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,RANCHO LA JOTA,,,,CA,,Bad Latitude,985.0
CAss_S987,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,RAYMOND VINEYARD & CELLAR,,,,CA,,Bad Latitude,986.0
CAss_S988,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,THE RANCH WINERY,,,,CA,,Bad Latitude,987.0
CAss_S1000,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,U.S. BUREAU OF RECLAMATION-LK. BERRYESSA,,,,CA,,Bad Latitude,999.0
CAss_S1002,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,KINGVALE PROPERTY OWNERS & WATER USERS,,,,CA,,Bad Latitude,1001.0
CAss_S1004,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CAMP RUCKER LAKE,,,,CA,,Bad Latitude,1003.0
