SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAwr_S18898,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5033.0,,Unspecified,CA,,Bad CoordinateMethodCV,18897.0
CAwr_S19313,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16782.0,,Unspecified,CA,,Bad CoordinateMethodCV,19312.0
CAwr_S19316,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16783.0,,Unspecified,CA,,Bad CoordinateMethodCV,19315.0
CAwr_S19320,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22458.0,,Unspecified,CA,,Bad CoordinateMethodCV,19319.0
CAwr_S19323,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11241.0,,Unspecified,CA,,Bad CoordinateMethodCV,19322.0
CAwr_S19328,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22461.0,,Unspecified,CA,,Bad CoordinateMethodCV,19327.0
CAwr_S19369,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40187.0,,Unspecified,CA,,Bad CoordinateMethodCV,19368.0
CAwr_S19398,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,34157.0,,Unspecified,CA,,Bad CoordinateMethodCV,19397.0
CAwr_S19416,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45768.0,,Unspecified,CA,,Bad CoordinateMethodCV,19415.0
CAwr_S19428,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39764.0,,Unspecified,CA,,Bad CoordinateMethodCV,19427.0
CAwr_S19432,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,33865.0,,Unspecified,CA,,Bad CoordinateMethodCV,19431.0
CAwr_S19523,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28392.0,,Unspecified,CA,,Bad CoordinateMethodCV,19522.0
CAwr_S19524,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45971.0,,Unspecified,CA,,Bad CoordinateMethodCV,19523.0
CAwr_S19533,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39910.0,,Unspecified,CA,,Bad CoordinateMethodCV,19532.0
CAwr_S19579,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5440.0,,Unspecified,CA,,Bad CoordinateMethodCV,19578.0
CAwr_S19601,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,27772.0,,Unspecified,CA,,Bad CoordinateMethodCV,19600.0
CAwr_S19630,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45976.0,,Unspecified,CA,,Bad CoordinateMethodCV,19629.0
CAwr_S19633,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45780.0,,Unspecified,CA,,Bad CoordinateMethodCV,19632.0
CAwr_S19709,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11453.0,,Unspecified,CA,,Bad CoordinateMethodCV,19708.0
CAwr_S19710,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22777.0,,Unspecified,CA,,Bad CoordinateMethodCV,19709.0
CAwr_S19711,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5718.0,,Unspecified,CA,,Bad CoordinateMethodCV,19710.0
CAwr_S19714,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40083.0,,Unspecified,CA,,Bad CoordinateMethodCV,19713.0
CAwr_S19717,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16959.0,,Unspecified,CA,,Bad CoordinateMethodCV,19716.0
CAwr_S19718,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28340.0,,Unspecified,CA,,Bad CoordinateMethodCV,19717.0
CAwr_S19719,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16956.0,,Unspecified,CA,,Bad CoordinateMethodCV,19718.0
CAwr_S19720,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16957.0,,Unspecified,CA,,Bad CoordinateMethodCV,19719.0
CAwr_S19721,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16958.0,,Unspecified,CA,,Bad CoordinateMethodCV,19720.0
CAwr_S19723,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,34177.0,,Unspecified,CA,,Bad CoordinateMethodCV,19722.0
CAwr_S19730,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,27770.0,,Unspecified,CA,,Bad CoordinateMethodCV,19729.0
CAwr_S19739,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45865.0,,Unspecified,CA,,Bad CoordinateMethodCV,19738.0
CAwr_S19880,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5113.0,,Unspecified,CA,,Bad CoordinateMethodCV,19879.0
CAwr_S19881,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5114.0,,Unspecified,CA,,Bad CoordinateMethodCV,19880.0
CAwr_S19882,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22224.0,,Unspecified,CA,,Bad CoordinateMethodCV,19881.0
