HUC8,HUC8 Name,Report Year,Component Type,Component ID,Component Name,Component Volume,TimeframeStart,TimeframeEnd
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,7200.0,2014-12-01,2014-12-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,15400.0,2015-01-01,2015-01-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,23400.0,2015-02-01,2015-02-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,25100.0,2015-03-01,2015-03-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,28900.0,2015-04-01,2015-04-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,29300.0,2015-05-01,2015-05-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,28800.0,2015-06-01,2015-06-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,28800.0,2015-07-01,2015-07-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,28900.0,2015-08-01,2015-08-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,15800.0,2015-10-01,2015-10-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,22600.0,2015-09-01,2015-09-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,13400.0,2015-11-01,2015-11-28
10190003,Middle South Platte-Cherry Creek,2015,ReservoirStorage,06016020,BARR LAKE,13400.0,2015-12-01,2015-12-28
10190003,Middle South Platte-Cherry Creek,2016,ReservoirStorage,06016020,BARR LAKE,16800.0,2016-01-01,2016-01-28
10190003,Middle South Platte-Cherry Creek,2016,ReservoirStorage,06016020,BARR LAKE,20700.0,2016-02-01,2016-02-28
