in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1996,7910,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1997,8130,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1998,8269,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1999,8000,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2000,8083,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2001,8729,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2002,8788,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2003,9410,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2004,10208,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2005,10663,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2006,10919,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2007,11435,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2008,11686,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2009,11814,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2010,11923,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2011,11151,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,2012,11591,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1988,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1989,0,WaDENE_WS1
