SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S7049,Unknown,Digitized,Lander,EPSG:4326,,,,,39.7667109993941,-117.01988300024,,,056  N22 E44 22BBAB1,,,stream,NV,
NVwr_S7050,Unknown,Digitized,Lander,EPSG:4326,,,,,39.6545099988895,-117.001752000473,,,056  N21 E44 26CBDC1,,,stream,NV,
NVwr_S7051,Unknown,Digitized,Lander,EPSG:4326,,,,,39.65218799918821,-117.00819399977199,,,056  N21 E44 27DDBC1,,,stream,NV,
NVwr_S7052,Unknown,Digitized,Lander,EPSG:4326,,,,,39.9180259993835,-117.115334000165,,,056  N24 E43 27DADC1,,,Underground,NV,
NVwr_S7053,Unknown,Digitized,Lander,EPSG:4326,,,,,39.6616379987915,-117.14749399974501,,,056  N21 E43 28BADC1,,,Underground,NV,
NVwr_S7054,Unknown,Digitized,Nye,EPSG:4326,,,,,38.959719999334,-117.46576900013099,,,056  N13 E40 27DCDC1,,,Underground,NV,
NVwr_S7055,Unknown,Digitized,Lander,EPSG:4326,,,,,39.4751249995008,-117.158776000016,,,056  N19 E43 32AA  1,,,Underground,NV,
NVwr_S7056,Unknown,Digitized,Elko,EPSG:4326,,,,,40.2436199992178,-115.583978999985,,,047  N27 E57 05CCCC1,,,stream,NV,
NVwr_S7057,Unknown,Digitized,Elko,EPSG:4326,,,,,40.2278659994926,-115.572595999592,,,047  N27 E57 17ABAB1,,,stream,NV,
NVwr_S7058,Unknown,Digitized,Elko,EPSG:4326,,,,,40.2895519993082,-115.60632899998699,,,047  N28 E56 24DDAD1,,,stream,NV,
NVwr_S7059,Unknown,Digitized,Elko,EPSG:4326,,,,,40.3891269994244,-115.569660999939,,,047  N29 E57 17DDDA1,,,stream,NV,
NVwr_S7060,Unknown,Digitized,Elko,EPSG:4326,,,,,40.398880998691396,-115.602267999605,,,047  N29 E57 18BBDD1,,,stream,NV,
NVwr_S7061,Unknown,Digitized,Elko,EPSG:4326,,,,,40.665789999176795,-115.518933000082,,,048  N32 E57 11DCBC1,,,lake,NV,
NVwr_S7062,Unknown,Digitized,Elko,EPSG:4326,,,,,40.676582999332105,-115.67423400037201,,,048  N32 E56 09BABD1,,,Underground,NV,
NVwr_S7063,Unknown,Digitized,Elko,EPSG:4326,,,,,40.656903999063395,-115.744702000575,,,048  N32 E55 14DBDB1,,,stream,NV,
NVwr_S7064,Unknown,Digitized,Elko,EPSG:4326,,,,,40.714755998831,-115.73229900039499,,,048  N33 E55 25CACB1,,,Underground,NV,
NVwr_S7065,Unknown,Digitized,Elko,EPSG:4326,,,,,40.6409389988071,-115.75205299955799,,,048  N32 E55 23CACC1,,,Underground,NV,
NVwr_S7066,Unknown,Digitized,Elko,EPSG:4326,,,,,40.746585999084296,-115.627825000084,,,048  N33 E56 14ADBC1,,,Underground,NV,
NVwr_S7067,Unknown,Digitized,Elko,EPSG:4326,,,,,40.63896999870561,-115.925108000182,,,048  N32 E54 20CCAD1,,,Underground,NV,
NVwr_S7068,Unknown,Digitized,Elko,EPSG:4326,,,,,40.6514419992655,-115.816776000429,,,048  N32 E55 19AABA1,,,Underground,NV,
NVwr_S7069,Unknown,Digitized,Lander,EPSG:4326,,,,,39.990341999329296,-117.43370400053499,,,057  N25 E40 36CCCC1,,,Underground,NV,
NVwr_S7070,Unknown,Digitized,Lander,EPSG:4326,,,,,40.05253299951929,-117.34642600049,,,057  N25 E41 10DBBD1,,,Underground,NV,
NVwr_S7071,Unknown,Digitized,Lander,EPSG:4326,,,,,39.9627899993518,-117.453952000512,,,057  N24 E40 10DDDA1,,,Underground,NV,
NVwr_S7072,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7057639988104,-117.85617300027,,,072  N33 E37 30ACDA1,,,Spring,NV,
NVwr_S7073,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.595948999408996,-118.250548000006,,,072  N32 E33 34BDCC2,,,Underground,NV,
NVwr_S7074,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6553579994589,-118.15935500018499,,,072  N32 E34 09BCBA1,,,Underground,NV,
NVwr_S7075,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5430239988909,-118.20061500022499,,,072  N31 E34 19DB  1,,,stream,NV,
NVwr_S7076,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5146449990036,-118.236983999931,,,072  N31 E33 35ABBB1,,,Underground,NV,
NVwr_S7077,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5079199995043,-118.237479999531,,,072  N31 E33 35DBBB1,,,Underground,NV,
NVwr_S7078,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.583895998979,-118.255028000337,,,072  N31 E33 03BDAA2,,,Underground,NV,
NVwr_S7079,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7782799992779,-118.092380000177,,,072  N34 E35 31BDCD1,,,Underground,NV,
NVwr_S7080,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.584344998883296,-118.255138999701,,,072  N31 E33 03BADD1,,,Underground,NV,
NVwr_S7081,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6513299988241,-118.161581999584,,,072  N32 E34 08DAAA2,,,Spring,NV,
NVwr_S7082,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5983899992443,-118.030570000566,,,072  N32 E35 34DCBA1,,,Underground,NV,
NVwr_S7083,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.474364999089495,-118.28237500042201,,,072  N30 E33 09CCAC1,,,Underground,NV,
NVwr_S7084,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.46681599883421,-118.280877999813,,,073A N30 E33 16BCDA1,,,Underground,NV,
NVwr_S7085,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8544969987584,-118.112386000245,,,072  N34 N34 01BACC1,,,Spring,NV,
