,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
260,,,CHARCOAL CREEK,GROUND WATER,Fresh,,
261,,,BIG WILLOW CREEK,GROUND WATER,Fresh,,
262,,,BANNER CREEK,GROUND WATER,Fresh,,
263,,,NORTH HORNET CREEK,GROUND WATER,Fresh,,
264,,,MONROE CREEK,GROUND WATER,Fresh,,
265,,,GROUSE CREEK,GROUND WATER,Fresh,,
266,,,GEERTSON CREEK,GROUND WATER,Fresh,,
267,,,HAYDEN CREEK,GROUND WATER,Fresh,,
268,,,SMOUT CREEK,GROUND WATER,Fresh,,
269,,,CHIPPS CREEK,GROUND WATER,Fresh,,
270,,,OTTER CREEK,GROUND WATER,Fresh,,
271,,,LITTLE FOURTH OF JULY CREEK,GROUND WATER,Fresh,,
272,,,BROWN CREEK,GROUND WATER,Fresh,,
273,,,DERR CREEK,GROUND WATER,Fresh,,
274,,,FISH HAVEN CREEK,GROUND WATER,Fresh,,
275,,,UNNAMED DRAINS,GROUND WATER,Fresh,,
276,,,ST CHARLES CREEK,GROUND WATER,Fresh,,
277,,,BEAVER POND,GROUND WATER,Fresh,,
278,,,HENRYS LAKE,GROUND WATER,Fresh,,
279,,,HOPE CREEK,GROUND WATER,Fresh,,
280,,,CANYON CREEK,GROUND WATER,Fresh,,
281,,,BITCH CREEK,GROUND WATER,Fresh,,
282,,,GRIFFITH CREEK,GROUND WATER,Fresh,,
283,,,NORTH TWIN CREEK,GROUND WATER,Fresh,,
284,,,STUMP CREEK,GROUND WATER,Fresh,,
285,,,GRAYS LAKE,GROUND WATER,Fresh,,
286,,,HORSE CREEK,GROUND WATER,Fresh,,
287,,,DAN CREEK,GROUND WATER,Fresh,,
288,,,WOLVERINE CREEK,GROUND WATER,Fresh,,
289,,,BRUSH CREEK,GROUND WATER,Fresh,,
290,,,MUD LAKE,GROUND WATER,Fresh,,
291,,,FRITZ CREEK,GROUND WATER,Fresh,,
292,,,PASS CREEK,GROUND WATER,Fresh,,
293,,,THE BULL PEN,GROUND WATER,Fresh,,
294,,,BLACK CREEK,GROUND WATER,Fresh,,
295,,,ANTELOPE CREEK,GROUND WATER,Fresh,,
296,,,SILVER CREEK,GROUND WATER,Fresh,,
297,,,JUMBO CANYON CREEK,GROUND WATER,Fresh,,
298,,,MALAD CANYON SPRINGS,GROUND WATER,Fresh,,
299,,,CROSS CREEK,GROUND WATER,Fresh,,
300,,,RED ROCK SPRING CREEK,GRANITE CREEK,Fresh,,
301,,,KANE CANYON CREEK,WEISER RIVER,Fresh,,
302,,,GRAPE CREEK,LINDSAY CREEK,Fresh,,
303,,,BIRCH SPRING,LINDSAY CREEK,Fresh,,
304,,,WHITE PINE CANYON CREEK,UNNAMED STREAM,Fresh,,
305,,,N E CREEK,BEAVER CREEK,Fresh,,
306,,,WHITE STUMP CREEK,GROUND WATER,Fresh,,
307,,,WHITE CREEK,GROUND WATER,Fresh,,
308,,,DRY GULCH CREEK,GROUND WATER,Fresh,,
309,,,PINEY CREEK,GROUND WATER,Fresh,,
310,,,MOUNTAIN VIEW CREEK,GROUND WATER,Fresh,,
311,,,HOPPER GULCH CREEK,GROUND WATER,Fresh,,
312,,,POLE CAMP CREEK,GROUND WATER,Fresh,,
313,,,LITTLE PINEY CREEK,GROUND WATER,Fresh,,
314,,,LITTLE CREEK,GROUND WATER,Fresh,,
315,,,POISON CREEK,GROUND WATER,Fresh,,
316,,,BIG FLAT CREEK,GROUND WATER,Fresh,,
317,,,CLOVER CREEK,GROUND WATER,Fresh,,
318,,,HENLEY SPRING,UNNAMED STREAMS,Fresh,,
319,,,CUNNINGHAM CREEK,SNAKE RIVER,Fresh,,
320,,,TWILIGHT GULCH CREEK,SNAKE RIVER,Fresh,,
321,,,LONE TREE CREEK,SURFACE RUNOFF,Fresh,,
322,,,FRENCH CREEK,BRIGGS SPRING,Fresh,,
323,,,WILLIAMS CREEK,RED BASIN CREEK,Fresh,,
324,,,VULCAN GULCH CREEK,JUMP CREEK,Fresh,,
325,,,SOUTH MOUNTAIN CREEK,GROUND WATER,Fresh,,
326,,,LITTLE CAT CREEK,UNNAMED STREAMS,Fresh,,
327,,,HARDTRIGGER CREEK,SWEDE JOHN CREEK,Fresh,,
328,,,LITTLE SQUAW CREEK,BIG WOOD RIVER,Fresh,,
