,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
442,,,CHERRY POND,GROUND WATER,Fresh,,
443,,,PUTNEY CANYON CREEK,GROUND WATER,Fresh,,
444,,,FALLS RIVER,GROUND WATER,Fresh,,
445,,,TIMBER CREEK,GROUND WATER,Fresh,,
446,,,BOONE CREEK,GROUND WATER,Fresh,,
447,,,FOX CREEK,GROUND WATER,Fresh,,
448,,,TETON CREEK,GROUND WATER,Fresh,,
449,,,SORENSEN CREEK,GROUND WATER,Fresh,,
450,,,BULL ELK CREEK,GROUND WATER,Fresh,,
451,,,RAINEY CREEK,GROUND WATER,Fresh,,
452,,,CROW CREEK,GROUND WATER,Fresh,,
453,,,TYGEE CREEK,GROUND WATER,Fresh,,
454,,,SELLARS CREEK,GROUND WATER,Fresh,,
455,,,CATTLE CREEK,GROUND WATER,Fresh,,
456,,,COVE CREEK,GROUND WATER,Fresh,,
457,,,EAGLE CREEK,GROUND WATER,Fresh,,
458,,,LANES CREEK,SPRINGS,Fresh,,
459,,,WOOD CREEK,MURPHY CREEK,Fresh,,
460,,,RASSMUSSEN CREEK,GROUND WATER,Fresh,,
461,,,NEGRO CREEK,GROUND WATER,Fresh,,
462,,,JONES CREEK,GROUND WATER,Fresh,,
463,,,MENASSA CREEK,GROUND WATER,Fresh,,
464,,,MC NABB CREEK,GROUND WATER,Fresh,,
465,,,MORMON CREEK,GROUND WATER,Fresh,,
466,,,GOODENOUGH CREEK,GROUND WATER,Fresh,,
467,,,KING CREEK,GROUND WATER,Fresh,,
468,,,MIDNIGHT CREEK,GROUND WATER,Fresh,,
469,,,WALKER CREEK,GROUND WATER,Fresh,,
470,,,BELL MARSH CREEK,GROUND WATER,Fresh,,
471,,,ROBBERS ROOST CREEK,GROUND WATER,Fresh,,
472,,,PEBBLE CREEK,GROUND WATER,Fresh,,
473,,,PORTNEUF RIVER,GROUND WATER,Fresh,,
474,,,YAGO CREEK,LANSING CREEK,Fresh,,
475,,,PAPOOSE SPRINGS,COTTONWOOD CREEK,Fresh,,
476,,,SUNBEAM CREEK,PONDS,Fresh,,
477,,,BUFFALO CREEK,WILLOW FORK,Fresh,,
478,,,LITTLE CHING CREEK,SQUAW CREEK,Fresh,,
479,,,CHING CREEK,GROUND WATER,Fresh,,
480,,,PATELZICK CREEK,GROUND WATER,Fresh,,
481,,,SCALP CREEK,GROUND WATER,Fresh,,
482,,,EAST MODOC CREEK,GROUND WATER,Fresh,,
483,,,THREE SPRINGS,GROUND WATER,Fresh,,
484,,,DEADHORSE CREEK,GROUND WATER,Fresh,,
485,,,SAWMILL CREEK,GROUND WATER,Fresh,,
486,,,CEDAR RUN CREEK,GROUND WATER,Fresh,,
487,,,BARNEY CREEK,GROUND WATER,Fresh,,
488,,,WET CREEK,GROUND WATER,Fresh,,
489,,,ALDER CREEK,DENNETT CREEK,Fresh,,
490,,,BECK CANYON CREEK,SPRINGS,Fresh,,
491,,,NAVARRE CREEK,SPRING,Fresh,,
492,,,MARSH CANYON CREEK,SPRINGS,Fresh,,
493,,,BRIER CANYON CREEK,ST MARIES RIVER,Fresh,,
494,,,BAILEY CORRAL CANYON CREEK,GROUND WATER,Fresh,,
495,,,SAND SPRINGS CREEK,GROUND WATER,Fresh,,
496,,,TUPPER SPRING,GROUND WATER,Fresh,,
497,,,BILLINGSLEY CREEK,GROUND WATER,Fresh,,
498,,,CRYSTAL SPRINGS,BIG WOOD RIVER,Fresh,,
499,,,DIP VAT CREEK,GROUND WATER,Fresh,,
500,,,BUCK CREEK,GROUND WATER,Fresh,,
501,,,WALTON CANYON CREEK,GROUND WATER,Fresh,,
502,,,LAVA LAKE,GROUND WATER,Fresh,,
503,,,LITTLE DEER CREEK,GROUND WATER,Fresh,,
504,,,WHITE ARROW HOT SPRING,GROUND WATER,Fresh,,
505,,,SULLIVAN CREEK,GROUND WATER,Fresh,,
506,,,FRANKS HOLLOW CREEK,GROUND WATER,Fresh,,
507,,,STINES CREEK,GROUND WATER,Fresh,,
508,,,BLACK SAND HOLLOW CREEK,GROUND WATER,Fresh,,
509,,,LAND CREEK,GROUND WATER,Fresh,,
510,,,COLD SPRING CREEK,GROUND WATER,Fresh,,
511,,,LITTLE COTTONWOOD CREEK,GROUND WATER,Fresh,,
512,,,EMERY CREEK,GROUND WATER,Fresh,,
513,,,NORTH CARSON CREEK,GROUND WATER,Fresh,,
514,,,LUNCH CREEK,GROUND WATER,Fresh,,
515,,,CAVE GULCH,GROUND WATER,Fresh,,
516,,,LONE CEDAR CREEK,GROUND WATER,Fresh,,
517,,,BOULDER CANYON CREEK,GROUND WATER,Fresh,,
518,,,MACKEY WASH CREEK,GROUND WATER,Fresh,,
519,,,LAND RANCH SPRING,GROUND WATER,Fresh,,
520,,,CEDAR BIRCH SPRING,GROUND WATER,Fresh,,
521,,,WORM CORRAL SPRINGS,GROUND WATER,Fresh,,
522,,,ECKLUND CREEK,GROUND WATER,Fresh,,
523,,,COLD SPRINGS,GROUND WATER,Fresh,,
524,,,DRY COTTONWOOD CREEK,GROUND WATER,Fresh,,
525,,,PARKER SPRING,GROUND WATER,Fresh,,
526,,,HANNAHS FORK,GROUND WATER,Fresh,,
527,,,JACK CREEK,GROUND WATER,Fresh,,
528,,,NORTH WILLOW SPRINGS CREEK,GROUND WATER,Fresh,,
529,,,MULE CREEK,GROUND WATER,Fresh,,
530,,,MC MULLEN CREEK,GROUND WATER,Fresh,,
531,,,JONES FORK CREEK,GROUND WATER,Fresh,,
532,,,ELECTRIC SPRING CREEK,GROUND WATER,Fresh,,
533,,,INDIAN SPRING CREEK,GROUND WATER,Fresh,,
534,,,DONAHUE CREEK,GROUND WATER,Fresh,,
535,,,CURTIS SPRING NO 2,SPRING,Fresh,,
536,,,DIAMOND CREEK,SPRINGS,Fresh,,
537,,,THIRD FORK ROCK CREEK,SPRINGS,Fresh,,
538,,,SHACK CREEK,GROUND WATER,Fresh,,
539,,,BRUNEAU RIVER,GROUND WATER,Fresh,,
540,,,ROCKY DRAW,GROUND WATER,Fresh,,
541,,,MARYS CREEK,GROUND WATER,Fresh,,
542,,,DUCK CREEK,GROUND WATER,Fresh,,
543,,,LOUSE CREEK,GROUND WATER,Fresh,,
544,,,OWYHEE RIVER,GROUND WATER,Fresh,,
545,,,WEST CREEK,MIDDLE CREEK,Fresh,,
546,,,TRIANGLE CREEK,MIDDLE CREEK,Fresh,,
547,,,MAMMOTH CREEK,BIG LOST RIVER,Fresh,,
548,,,FLINT CREEK,BIG WOOD RIVER,Fresh,,
549,,,GILMORE CREEK,UNNAMED STREAMS,Fresh,,
550,,,WHITE HORSE CREEK,BIG WOOD RIVER,Fresh,,
551,,,TWENTYMILE GULCH CREEK,UNNAMED STREAMS,Fresh,,
552,,,SALMON CREEK,PICKETT SPRING CREEK,Fresh,,
553,,,LITTLE CANYON CREEK,TRAPPER CREEK,Fresh,,
554,,,LONG TOM CREEK,SPRING,Fresh,,
555,,,BEAR GULCH CREEK,GROUND WATER,Fresh,,
556,,,FRENCHMAN SPRINGS,GROUND WATER,Fresh,,
557,,,HOT SPRING CREEK,SAGE HEN RESERVOIR,Fresh,,
558,,,FREESTONE CREEK,SAGE HEN RESERVOIR,Fresh,,
559,,,PANCHERI DRAIN,UNNAMED STREAMS,Fresh,,
560,,,CASEY CREEK,SPRING,Fresh,,
561,,,STEWART CREEK,GROUND WATER,Fresh,,
562,,,SPANISH FORK,GROUND WATER,Fresh,,
563,,,SLATER CREEK,INDIAN CREEK,Fresh,,
564,,,UNNAMED DITCH,FALLERT CREEK,Fresh,,
565,,,BIG WATER GULCH,BIG LOST RIVER,Fresh,,
566,,,WALLA WALLA GULCH CREEK,BIG LOST RIVER,Fresh,,
567,,,MACKS CREEK,BIG LOST RIVER,Fresh,,
568,,,SAND HOLLOW CREEK,BIG LOST RIVER,Fresh,,
569,,,PAYETTE LAKE,BIG LOST RIVER,Fresh,,
570,,,LITTLE GOOSEBERRY CREEK,BIG LOST RIVER,Fresh,,
571,,,BISSEL CREEK,BIG LOST RIVER,Fresh,,
572,,,PUMPKIN CREEK,GROUND WATER,Fresh,,
573,,,HOG COVE CREEK,GROUND WATER,Fresh,,
574,,,COLD SPRING CANYON,GROUND WATER,Fresh,,
575,,,WHITLOCK GULCH CREEK,GROUND WATER,Fresh,,
576,,,CURRIN GULCH CREEK,GROUND WATER,Fresh,,
577,,,THORN CREEK,GROUND WATER,Fresh,,
578,,,SHOEMAKER CREEK,GROUND WATER,Fresh,,
579,,,DRY BUCK CREEK,GROUND WATER,Fresh,,
580,,,HARRIS CREEK,GROUND WATER,Fresh,,
581,,,KENNEDY CREEK,GROUND WATER,Fresh,,
582,,,LAFFINWELL CREEK,GROUND WATER,Fresh,,
583,,,HENLEY CREEK,GROUND WATER,Fresh,,
584,,,HORNET CREEK,GROUND WATER,Fresh,,
585,,,COLD SPRING GULCH CREEK,GROUND WATER,Fresh,,
586,,,FAIRCHILD GULCH CREEK,GROUND WATER,Fresh,,
587,,,GOODRICH CREEK,GROUND WATER,Fresh,,
588,,,LITTLE PINE CREEK,GROUND WATER,Fresh,,
589,,,SMITH GULCH CREEK,GROUND WATER,Fresh,,
590,,,GRIZZLY CREEK,GROUND WATER,Fresh,,
591,,,SHIRTS CREEK,GROUND WATER,Fresh,,
592,,,SCOTT CREEK,GROUND WATER,Fresh,,
593,,,TENNISON CREEK,GROUND WATER,Fresh,,
594,,,GEORGE WAY GULCH CREEK,GROUND WATER,Fresh,,
595,,,HANSON CREEK,GROUND WATER,Fresh,,
596,,,WICKIUP CREEK,GROUND WATER,Fresh,,
597,,,SALT CREEK,GROUND WATER,Fresh,,
598,,,HERCULES CREEK,GROUND WATER,Fresh,,
599,,,LIMESTONE GULCH CREEK,GROUND WATER,Fresh,,
600,,,EAST FORK,GROUND WATER,Fresh,,
601,,,WEST PASS CREEK,SPRINGS,Fresh,,
602,,,UNNAMED LAKES,WINE CREEK,Fresh,,
603,,,LAWSON CREEK,UNNAMED STREAMS,Fresh,,
604,,,GOLDBURG CREEK,GROUND WATER,Fresh,,
605,,,BURNT CREEK,GROUND WATER,Fresh,,
606,,,RYE GRASS CREEK,GROUND WATER,Fresh,,
607,,,BERG-GREEN GULCH CREEK,GROUND WATER,Fresh,,
608,,,WHISKEY SPRING CREEK,GROUND WATER,Fresh,,
609,,,MULKEY CREEK,GROUND WATER,Fresh,,
610,,,BIG TIMBER CREEK,GROUND WATER,Fresh,,
611,,,LITTLE TIMBER CREEK,GROUND WATER,Fresh,,
612,,,LITTLE EIGHTMILE CREEK,GROUND WATER,Fresh,,
613,,,LEE CREEK,GROUND WATER,Fresh,,
614,,,ALLISON CREEK,GROUND WATER,Fresh,,
615,,,HAT CREEK,GROUND WATER,Fresh,,
616,,,MC KIM CREEK,GROUND WATER,Fresh,,
617,,,WEST FORK SAGE CREEK,GROUND WATER,Fresh,,
618,,,CARMEN CREEK,GROUND WATER,Fresh,,
619,,,BIG MALLARD CREEK,GROUND WATER,Fresh,,
620,,,WARREN CREEK,GROUND WATER,Fresh,,
621,,,SHORTS CREEK,GROUND WATER,Fresh,,
622,,,LICK CREEK,SPRINGS,Fresh,,
623,,,DUCK LAKE,EMERALD CREEK,Fresh,,
624,,,DISAPPOINTMENT LAKE,FALL RIVER,Fresh,,
625,,,BLACK LAKE,FALL RIVER,Fresh,,
626,,,BUCK LAKE,FALL RIVER,Fresh,,
627,,,TWIN LAKES,FALL RIVER,Fresh,,
628,,,ELK CREEK,FALL RIVER,Fresh,,
629,,,HAAS LAKE,FALL RIVER,Fresh,,
630,,,MANHONEY CREEK,FALL RIVER,Fresh,,
631,,,SLICK EAR CREEK,WILLOW CREEK,Fresh,,
632,,,WALL CREEK,GROUND WATER,Fresh,,
633,,,WHITAKER CREEK,GROUND WATER,Fresh,,
634,,,QUEEN CREEK,GROUND WATER,Fresh,,
635,,,IRISH CREEK,GROUND WATER,Fresh,,
636,,,LITTLE ELK CREEK,GROUND WATER,Fresh,,
637,,,BIG ELK CREEK,GROUND WATER,Fresh,,
638,,,RED RIVER,GROUND WATER,Fresh,,
639,,,NEWSOME CREEK,LITTLE LOST RIVER,Fresh,,
640,,,MOOSE CREEK,GROUND WATER,Fresh,,
641,,,LOST LAKE CREEK,LAKE CREEK,Fresh,,
642,,,LUND CREEK,GROUND WATER,Fresh,,
643,,,TWIN SPRINGS CREEK,UNNAMED STREAM,Fresh,,
644,,,JIM FORD CREEK,GROUND WATER,Fresh,,
645,,,WHISKEY CREEK,GROUND WATER,Fresh,,
646,,,FIVEMILE CREEK,GROUND WATER,Fresh,,
647,,,CAPTAIN JOHN CREEK,GROUND WATER,Fresh,,
648,,,CAVE GULCH CREEK,GROUND WATER,Fresh,,
649,,,LONG HOLLOW CREEK,GROUND WATER,Fresh,,
650,,,LONG HAUL CREEK,GROUND WATER,Fresh,,
651,,,POTLATCH RIVER,GROUND WATER,Fresh,,
652,,,CHARLEY CREEK,GROUND WATER,Fresh,,
653,,,ROCHAT CREEK,GROUND WATER,Fresh,,
654,,,ALLENS GULCH CREEK,GROUND WATER,Fresh,,
655,,,LITTLE CARPENTER CREEK,GROUND WATER,Fresh,,
656,,,SANTA CREEK,GROUND WATER,Fresh,,
657,,,HAZENDORF GULCH,GROUND WATER,Fresh,,
658,,,BENEWAH CREEK,GROUND WATER,Fresh,,
659,,,BELLGROVE CREEK,GROUND WATER,Fresh,,
660,,,POIRIER CREEK,GROUND WATER,Fresh,,
661,,,LEWELLEN CREEK,GROUND WATER,Fresh,,
662,,,LAKE PEND OREILLE,GROUND WATER,Fresh,,
663,,,SNOW CREEK,GROUND WATER,Fresh,,
664,,,CURLEY CREEK,OTTER SPRINGS,Fresh,,
665,,,GILLON CREEK,OTTER SPRINGS,Fresh,,
666,,,CROSSLEY HOLLOW SPRING,CASTLE CREEK,Fresh,,
667,,,HIDDEN SPRING,UNNAMED STREAMS,Fresh,,
668,,,SHEEP CORRAL CREEK,UNNAMED STREAM,Fresh,,
669,,,CART HOLLOW SPRINGS,GROUND WATER,Fresh,,
670,,,SULPHUR CANYON CREEK,COON CREEK,Fresh,,
671,,,FORMATION SPRING CREEK,SHEEP CREEK,Fresh,,
672,,,NORTH CREEK,UNNAMED STREAM,Fresh,,
673,,,CO-OP CREEK,SHEEP CREEK,Fresh,,
674,,,COPENHAGEN CANYON CREEK,UNNAMED STREAM,Fresh,,
675,,,BEAR RIVER,RAFT CREEK,Fresh,,
676,,,LEDGER CREEK,BROWNLEE CREEK,Fresh,,
677,,,UNNAMED SPRING,UNNAMED STREAMS,Fresh,,
678,,,LIBERTY LOOKOUT CREEK,WOLF CREEK,Fresh,,
679,,,MIDDLE FORK,SPRINGS,Fresh,,
680,,,PEARL CREEK,UNNAMED STREAM,Fresh,,
681,,,CROOKED CREEK,UNNAMED STREAM,Fresh,,
682,,,PIPELLINE SPRING,MABEY CANYON CREEK,Fresh,,
683,,,WAYLAND HOT SPRINGS,GROUND WATER,Fresh,,
684,,,SHINGLE CREEK,GROUND WATER,Fresh,,
685,,,WESTON CREEK,GROUND WATER,Fresh,,
686,,,TOM PERRY CANYON CREEK,GROUND WATER,Fresh,,
687,,,BULL CANYON CREEK,GROUND WATER,Fresh,,
688,,,MIDDLE THURMON CREEK,GROUND WATER,Fresh,,
689,,,ICEHOUSE CREEK,GROUND WATER,Fresh,,
690,,,DRAKE CREEK,GROUND WATER,Fresh,,
691,,,MOODY CREEK,BIG SPRING CREEK,Fresh,,
692,,,STATE CREEK,GROUND WATER,Fresh,,
693,,,SOUTH LEIGH CREEK,GROUND WATER,Fresh,,
694,,,DARBY CREEK,GROUND WATER,Fresh,,
695,,,BOQUET CREEK,GROUND WATER,Fresh,,
696,,,UNNAMED CREEKS,GROUND WATER,Fresh,,
697,,,UNNAMED SLOUGH,GROUND WATER,Fresh,,
698,,,CRAIL CREEK,GROUND WATER,Fresh,,
699,,,PRITCHARD CREEK,GROUND WATER,Fresh,,
700,,,WARM SPRINGS,GROUND WATER,Fresh,,
701,,,PALISADES CREEK,GROUND WATER,Fresh,,
702,,,FALLS CREEK,GROUND WATER,Fresh,,
703,,,TINCUP CREEK,GROUND WATER,Fresh,,
704,,,JACKKNIFE CREEK,GROUND WATER,Fresh,,
705,,,HUBLER CREEK,GROUND WATER,Fresh,,
706,,,WEBSTER CREEK,GROUND WATER,Fresh,,
707,,,BRIDGE CREEK,GROUND WATER,Fresh,,
708,,,TAYLOR CREEK,GROUND WATER,Fresh,,
709,,,SHIRLEY CREEK,GROUND WATER,Fresh,,
710,,,GRAVEL CREEK,GROUND WATER,Fresh,,
711,,,ANNIS SLOUGH,GROUND WATER,Fresh,,
712,,,SUNDAY CREEK,GROUND WATER,Fresh,,
713,,,GATES CREEK,GROUND WATER,Fresh,,
714,,,LONETREE SPRING,GROUND WATER,Fresh,,
715,,,LONE PINE CREEK,GROUND WATER,Fresh,,
716,,,CHIPPY CREEK,GROUND WATER,Fresh,,
717,,,SEVENTY CREEK,GROUND WATER,Fresh,,
718,,,COLLETT CREEK,GROUND WATER,Fresh,,
719,,,GREEN CANYON CREEK,GROUND WATER,Fresh,,
720,,,STATION CREEK,GROUND WATER,Fresh,,
721,,,RAPID CREEK,GROUND WATER,Fresh,,
722,,,EAST BOB SMITH CREEK,GROUND WATER,Fresh,,
723,,,LOST CREEK,GROUND WATER,Fresh,,
724,,,DEMPSEY CREEK,GROUND WATER,Fresh,,
725,,,JOE WILLEY CREEK,GROUND WATER,Fresh,,
726,,,JOE WILLIE CREEK,GROUND WATER,Fresh,,
727,,,ARKANSAS CREEK,GROUND WATER,Fresh,,
728,,,PECK CREEK,GROUND WATER,Fresh,,
729,,,TOLMAN CANYON CREEK,GROUND WATER,Fresh,,
730,,,RUNOFF,GROUND WATER,Fresh,,
731,,,DEAD LINE LAKE,GROUND WATER,Fresh,,
732,,,LITTLE WARM CREEK,GROUND WATER,Fresh,,
733,,,MODOC CREEK,GROUND WATER,Fresh,,
734,,,MORNING GLORY SPRING,GROUND WATER,Fresh,,
735,,,FALLERT SPRINGS,GROUND WATER,Fresh,,
736,,,HOOLEY CREEK,GROUND WATER,Fresh,,
737,,,POISON SPRING,GROUND WATER,Fresh,,
738,,,SPRING NO 8,GROUND WATER,Fresh,,
739,,,BLIND CANYON SPRINGS,GROUND WATER,Fresh,,
740,,,BAUGH CREEK,BLUE HILL CREEK,Fresh,,
741,,,MINEAR CREEK,LITTLE ROCKY CREEK,Fresh,,
742,,,REEDS SPRINGS,GROUND WATER,Fresh,,
743,,,SHONKS CREEK,GROUND WATER,Fresh,,
744,,,NARROW GAUGE GULCH,GROUND WATER,Fresh,,
745,,,GARDEN SPRING,GROUND WATER,Fresh,,
746,,,OWENS CREEK,GROUND WATER,Fresh,,
747,,,HAILEY HOT SPRINGS,GROUND WATER,Fresh,,
748,,,RICE CREEK,GROUND WATER,Fresh,,
749,,,EDWARDS CREEK,GROUND WATER,Fresh,,
750,,,CLYDE CREEK,GROUND WATER,Fresh,,
751,,,SUBLETT CREEK,GROUND WATER,Fresh,,
752,,,CONNOR CREEK,GROUND WATER,Fresh,,
753,,,PINE SPRINGS,GROUND WATER,Fresh,,
754,,,BUCKHORN SPRING,GROUND WATER,Fresh,,
755,,,WARM SPRING,GROUND WATER,Fresh,,
756,,,ROCK SPRING,GROUND WATER,Fresh,,
757,,,CRITCHFIELD SPRINGS,GROUND WATER,Fresh,,
758,,,WRANGLER SPRING,COTTONWOOD CREEK,Fresh,,
759,,,HOT CREEK,UNNAMED STREAM,Fresh,,
760,,,CAT CREEK,GRADE CREEK,Fresh,,
761,,,SUGAR VALLEY WASH,UNNAMED STREAM,Fresh,,
762,,,CURTIS DRAW CREEK,UNNAMED STREAM,Fresh,,
763,,,CRUTCHMER SPRING,POND,Fresh,,
764,,,OWL CREEK,IRVING CREEK,Fresh,,
765,,,BARE HILL SPRING,GROUND WATER,Fresh,,
766,,,SLACK CREEK,GROUND WATER,Fresh,,
767,,,NORTH BOULDER CREEK,GROUND WATER,Fresh,,
768,,,LOUISA CREEK,RAFT RIVER,Fresh,,
769,,,TENT CREEK,GROUND WATER,Fresh,,
770,,,LONG VALLEY CREEK,GROUND WATER,Fresh,,
771,,,THOMAS CREEK,GROUND WATER,Fresh,,
772,,,TIDDIE CREEK,GROUND WATER,Fresh,,
773,,,COMMERFORD SPRINGS,GROUND WATER,Fresh,,
774,,,SAND SPRINGS GULCH CREEK,GROUND WATER,Fresh,,
775,,,RYEGRASS CREEK,GROUND WATER,Fresh,,
776,,,WILSON DRAIN,GROUND WATER,Fresh,,
777,,,GRIMES CREEK,GROUND WATER,Fresh,,
778,,,LITTLE CAMAS CREEK,GROUND WATER,Fresh,,
779,,,PURDAM GULCH CREEK,GROUND WATER,Fresh,,
780,,,MC FARLAND CREEK,GROUND WATER,Fresh,,
781,,,STEWART GULCH CREEK,GROUND WATER,Fresh,,
782,,,SAND HOLLOW WASTEWAY,GROUND WATER,Fresh,,
783,,,ROBIE CREEK,GROUND WATER,Fresh,,
784,,,BIG SMOKY CREEK,GROUND WATER,Fresh,,
785,,,ATLANTA HOT SPRINGS,GROUND WATER,Fresh,,
786,,,SLAUGHTERHOUSE GULCH CREEK,GROUND WATER,Fresh,,
787,,,LITTLE PEARSOL CREEK,GROUND WATER,Fresh,,
788,,,DUFFNER CREEK,GROUND WATER,Fresh,,
789,,,CHERRY GULCH CREEK,GROUND WATER,Fresh,,
790,,,SUCKER CREEK,GROUND WATER,Fresh,,
791,,,FLEMING CREEK,GROUND WATER,Fresh,,
792,,,EDDY CREEK,GROUND WATER,Fresh,,
793,,,BRAINARD CREEK,GROUND WATER,Fresh,,
794,,,CHURCH CREEK,GROUND WATER,Fresh,,
795,,,ANDERSON CREEK,GROUND WATER,Fresh,,
796,,,LAKE FORK,GROUND WATER,Fresh,,
797,,,HARTSELL CREEK,GROUND WATER,Fresh,,
798,,,PERKINS CREEK,GROUND WATER,Fresh,,
799,,,MONDAY GULCH CREEK,GROUND WATER,Fresh,,
800,,,CRANE CREEK,GROUND WATER,Fresh,,
801,,,CLEVELAND CREEK,GROUND WATER,Fresh,,
802,,,TENNELL CREEK,GROUND WATER,Fresh,,
803,,,WHITE VALLEY CREEK,GROUND WATER,Fresh,,
804,,,DARLING CREEK,GROUND WATER,Fresh,,
805,,,TATER CREEK,BIRCH CREEK,Fresh,,
806,,,CRUIKSHANK CREEK,UNNAMED STREAM,Fresh,,
807,,,PRATT CREEK,GOOSE CREEK,Fresh,,
808,,,HAWLEY CREEK,BEAVERDAM CREEK,Fresh,,
809,,,BALDY CREEK,BEAVERDAM CREEK,Fresh,,
810,,,LEMHI BIG SPRING CREEK,HOWELL CREEK,Fresh,,
811,,,DAIRY CREEK,SHOSHONE CREEK,Fresh,,
812,,,BIG EIGHTMILE CREEK,SHOSHONE CREEK,Fresh,,
813,,,PANTHER CREEK,BROWNS CREEK,Fresh,,
814,,,SEVENMILE CREEK,UNNAMED STREAMS,Fresh,,
815,,,TOWER CREEK,ROSS LAKE,Fresh,,
816,,,BIG HAT CREEK,UNNAMED STREAM,Fresh,,
817,,,GOLWAY GULCH CREEK,PAYETTE RIVER,Fresh,,
818,,,NAPIAS CREEK,TEXAS CREEK,Fresh,,
819,,,HARBISON CREEK,UNNAMED STREAMS,Fresh,,
820,,,PAPOOSE CREEK,SPRINGS,Fresh,,
821,,,MORGAN LAKE,LOLO CREEK,Fresh,,
822,,,HIDDEN LAKE,UNNAMED STREAMS,Fresh,,
823,,,ELFERS CREEK,GROUND WATER,Fresh,,
824,,,JOHNS CREEK,DAIRY CREEK SPRINGS,Fresh,,
825,,,WHITE BIRD CREEK,GROUND WATER,Fresh,,
826,,,SOTIN CREEK,GROUND WATER,Fresh,,
827,,,SKELETON CREEK,GROUND WATER,Fresh,,
828,,,SLATE CREEK,GROUND WATER,Fresh,,
829,,,FIDDLE CREEK,GROUND WATER,Fresh,,
830,,,BIG SULPHUR CREEK,LITTLE WOOD RIVER,Fresh,,
831,,,SCHWARTZ CREEK,SPRING,Fresh,,
832,,,FARRENS CREEK,LITTLE WOOD RIVER,Fresh,,
833,,,WHEELER CANYON CREEK,LITTLE WOOD RIVER,Fresh,,
834,,,LAPWAI CREEK,LITTLE WOOD RIVER,Fresh,,
835,,,DEADMAN GULCH CREEK,MC HAN CREEK,Fresh,,
836,,,LATOUR CREEK,LITTLE WOOD RIVER,Fresh,,
837,,,HAUSER CREEK,LITTLE WOOD RIVER,Fresh,,
838,,,BLANCHARD CREEK,LITTLE WOOD RIVER,Fresh,,
839,,,UPPER PRIEST RIVER,LITTLE WOOD RIVER,Fresh,,
840,,,HALL CREEK,LITTLE WOOD RIVER,Fresh,,
841,,,ENEAS CREEK,MULDOON CREEK,Fresh,,
842,,,LEDGE CREEK,SPRING,Fresh,,
843,,,BLOOMINGTON DRY CANYON SPRING,GROUND WATER,Fresh,,
844,,,DRY BED,GROUND WATER,Fresh,,
845,,,BEAR HOLLOW SPRINGS,GROUND WATER,Fresh,,
846,,,GEORGE FINDLAY CLAYHOLE SPRING,GROUND WATER,Fresh,,
847,,,COPENHAGEN CREEK,GROUND WATER,Fresh,,
848,,,LITTLE THREEMILE CREEK,GROUND WATER,Fresh,,
849,,,RED PINE SPRING,GROUND WATER,Fresh,,
850,,,SWAN LAKES,GROUND WATER,Fresh,,
851,,,WOOD CANYON CREEK,GROUND WATER,Fresh,,
852,,,SAGO HOLLOW CREEK,GROUND WATER,Fresh,,
853,,,BIG CANYON SPRING,GROUND WATER,Fresh,,
854,,,BLOOMINGTON CREEK,GROUND WATER,Fresh,,
855,,,GEORGETOWN CREEK,GROUND WATER,Fresh,,
856,,,CENTER CREEK,GROUND WATER,Fresh,,
857,,,NOUNAN CREEK,GROUND WATER,Fresh,,
858,,,CHUGG SPRING,GROUND WATER,Fresh,,
859,,,SECOND CREEK,GROUND WATER,Fresh,,
860,,,OXFORD CREEK,GROUND WATER,Fresh,,
861,,,CLIFTON CREEK,GROUND WATER,Fresh,,
862,,,TANNER DRAIN,GROUND WATER,Fresh,,
863,,,FAIRVIEW DRAIN,GROUND WATER,Fresh,,
864,,,BERGQUIST SPRING,GROUND WATER,Fresh,,
865,,,SPRING QUARRY CREEK,GROUND WATER,Fresh,,
866,,,SUGAR CREEK,GROUND WATER,Fresh,,
867,,,STRAWBERRY CREEK,GROUND WATER,Fresh,,
868,,,BEAR CREEK SPRING,GROUND WATER,Fresh,,
869,,,DENSMORE CREEK,GROUND WATER,Fresh,,
870,,,BURTON SPRINGS,GROUND WATER,Fresh,,
871,,,FLAT CANYON CREEK,GROUND WATER,Fresh,,
872,,,DUDLEY SPRINGS,GROUND WATER,Fresh,,
873,,,ROCKSLIDE CREEK,GROUND WATER,Fresh,,
874,,,MINK CREEK SPRING,GROUND WATER,Fresh,,
875,,,PEANUT SPRING,GROUND WATER,Fresh,,
876,,,CHEATBECK CREEK,GROUND WATER,Fresh,,
877,,,CHINA SPRING,GROUND WATER,Fresh,,
878,,,GREEN WILLOW SPRINGS,GROUND WATER,Fresh,,
879,,,NETTIE SPRINGS,GROUND WATER,Fresh,,
880,,,STEVES CREEK,GROUND WATER,Fresh,,
881,,,SOUTH BURTON CREEK,GROUND WATER,Fresh,,
882,,,CALDWELL CREEK,GROUND WATER,Fresh,,
883,,,NORTH HOOPS CREEK,GROUND WATER,Fresh,,
884,,,PATS HOLLOW CREEK,SPRING,Fresh,,
885,,,SAND SPRINGS,SPRING,Fresh,,
886,,,MIDDLE FORK TROUT CREEK,GROUND WATER,Fresh,,
887,,,KACKLEY SPRINGS COMPLEX,GROUND WATER,Fresh,,
